Document Count,Indexing Duration
0,56.625µs
1,184.292µs
2,12µs
3,7.083µs
4,29.042µs
5,4.875µs
6,24.5µs
7,2.875µs
8,7.167µs
9,6.042µs
10,2.625µs
11,2.875µs
12,13.334µs
13,6.625µs
14,8.375µs
15,8.375µs
16,12.167µs
17,6.583µs
18,7.583µs
19,8.042µs
20,10.666µs
21,7.875µs
22,11.083µs
23,47µs
24,6.875µs
25,6.625µs
26,6.542µs
27,11.333µs
28,7.792µs
29,8.083µs
30,8.125µs
31,12.459µs
32,8.208µs
33,8.333µs
34,8.292µs
35,10.166µs
36,7.875µs
37,6.458µs
38,10.708µs
39,9.791µs
40,6.291µs
41,24.916µs
42,7.917µs
43,8.333µs
44,6.375µs
45,8.416µs
46,8.042µs
47,8µs
48,8.208µs
49,6.75µs
50,6.334µs
51,9.417µs
52,9.458µs
53,9.417µs
54,14.458µs
55,6.459µs
56,7.875µs
57,9.083µs
58,6.375µs
59,8.042µs
60,11.208µs
61,8µs
62,17.25µs
63,17.166µs
64,8.583µs
65,7.667µs
66,10.833µs
67,16.083µs
68,108µs
69,49.834µs
70,6.375µs
71,6.208µs
72,7.542µs
73,11.5µs
74,7.542µs
75,7.541µs
76,8.5µs
77,15.625µs
78,10.291µs
79,8.292µs
80,8µs
81,7.917µs
82,7.917µs
83,10.416µs
84,8.125µs
85,31µs
86,15.208µs
87,13.584µs
88,8.083µs
89,12.416µs
90,10.209µs
91,7.875µs
92,7.458µs
93,13.375µs
94,20.666µs
95,10.708µs
96,6.666µs
97,7.833µs
98,7.875µs
99,10.666µs
100,10.584µs
101,11.25µs
102,10.041µs
103,13.5µs
104,7.041µs
105,25.125µs
106,13.375µs
107,8.291µs
108,8.584µs
109,7.458µs
110,14.208µs
111,7.916µs
112,10.458µs
113,8.542µs
114,13.666µs
115,14.542µs
116,12.042µs
117,20.792µs
118,8.25µs
119,8.375µs
120,11.75µs
121,16.417µs
122,11.917µs
123,8.166µs
124,8.916µs
125,42.209µs
126,10.916µs
127,13.042µs
128,10µs
129,9.916µs
130,8.834µs
131,7.834µs
132,23.25µs
133,12.083µs
134,23.042µs
135,8.75µs
136,8.166µs
137,11.458µs
138,8.792µs
139,8.416µs
140,18.209µs
141,7.542µs
142,8.417µs
143,13.208µs
144,8.791µs
145,10.708µs
146,10.583µs
147,10.75µs
148,2.583µs
149,8.625µs
150,255.541µs
151,2.792µs
152,21.416µs
153,106.375µs
154,92µs
155,53.583µs
156,42.083µs
157,70.5µs
158,10.667µs
159,237.166µs
160,295.625µs
161,2.708µs
162,16.417µs
163,39.209µs
164,27.25µs
165,33.791µs
166,71µs
167,82.125µs
168,69.208µs
169,115.666µs
170,159.5µs
171,394.625µs
172,59.541µs
173,17.084µs
174,38.458µs
175,81.458µs
176,29.5µs
177,10.416µs
178,100.042µs
179,86.5µs
180,73.25µs
181,75µs
182,58.041µs
183,41.459µs
184,36.625µs
185,68.584µs
186,45.25µs
187,70.542µs
188,85.458µs
189,77µs
190,65.583µs
191,166.875µs
192,116µs
193,91.625µs
194,21.541µs
195,85.334µs
196,52.25µs
197,71.542µs
198,79.75µs
199,40.542µs
200,97.834µs
201,127.5µs
202,59.75µs
203,36.583µs
204,22.458µs
205,101.5µs
206,43.958µs
207,42µs
208,47.042µs
209,61.625µs
210,76µs
211,22.791µs
212,62.583µs
213,161.833µs
214,61.791µs
215,82.208µs
216,57µs
217,46.083µs
218,68.583µs
219,45.875µs
220,91.167µs
221,66.041µs
222,60.209µs
223,43.5µs
224,222.167µs
225,137.625µs
226,700.458µs
