Document Count,Toknes in Query,Query Duration
0,1,3.167µs
0,2,2.625µs
0,3,3.375µs
50,3,2.834µs
50,3,2.833µs
50,2,2.417µs
100,2,2.084µs
100,1,1.417µs
100,1,1.458µs
150,3,3.417µs
150,3,2.583µs
150,1,1.25µs
200,2,377.833µs
200,3,2.75µs
200,2,7.709µs
250,3,7.25µs
250,3,2.5µs
250,2,469.291µs
300,1,8.625µs
300,2,9.375µs
300,2,8.666µs
350,1,5.167µs
350,2,5.708µs
350,1,6.875µs
400,2,713µs
400,2,7.834µs
400,3,5.5µs
450,2,8.083µs
450,3,5.25µs
450,1,9.458µs
500,3,8.333µs
500,2,4.5µs
500,1,3.416µs
550,1,6.083µs
550,2,808.833µs
550,2,18.667µs
600,1,23.125µs
600,3,10.208µs
600,2,1.022083ms
650,3,27.083µs
650,2,1.032291ms
650,1,8.25µs
700,3,5.5µs
700,2,32.041µs
700,3,4.834µs
750,2,8.541µs
750,3,4.667µs
750,2,3.875µs
800,3,7.292µs
800,3,40.166µs
800,2,3.791µs
850,1,7.959µs
850,3,4.75µs
850,1,3.042µs
900,3,1.291167ms
900,3,38.542µs
900,1,3.083µs
950,1,8.292µs
950,2,3.917µs
950,1,36.292µs
1000,2,9.709µs
1000,2,3.959µs
1000,3,4.75µs
1050,2,6µs
1050,3,5.375µs
1050,3,10.333µs
1100,3,7.333µs
1100,1,42.458µs
1100,1,1.681333ms
1150,3,17.208µs
1150,1,1.703208ms
1150,2,1.659459ms
1200,2,10.667µs
1200,1,43.833µs
1200,1,42.042µs
1250,1,3.875µs
1250,3,4.542µs
1250,3,4.5µs
1300,2,4.625µs
1300,3,4.667µs
1300,1,2.103541ms
1350,1,3.5µs
1350,2,64µs
1350,2,3.875µs
1400,1,2.222583ms
1400,3,10.666µs
1400,1,2.196417ms
1450,1,2.29125ms
1450,2,4.209µs
1450,1,2.317333ms
1500,3,2.375041ms
1500,2,4.167µs
1500,2,10.625µs
1550,2,10.292µs
1550,3,4.666µs
1550,2,10.042µs
1600,1,2.456625ms
1600,1,3.416µs
1600,3,5.792µs
1650,2,2.542917ms
1650,1,2.504042ms
1650,3,4.916µs
1700,3,5.916µs
1700,2,75.5µs
1700,1,4.25µs
1750,1,5.791µs
1750,3,4.875µs
1750,2,2.672834ms
1800,2,12.792µs
1800,3,4.666µs
1800,3,76.917µs
1850,2,6.958µs
1850,2,2.845792ms
1850,3,4.959µs
1900,1,3.292µs
1900,3,79.917µs
1900,2,13.125µs
1950,2,4.5µs
1950,3,7.375µs
1950,1,5.083µs
2000,2,12.667µs
2000,2,6.25µs
2000,2,12.084µs
2050,1,80.042µs
2050,1,78.291µs
2050,2,6.458µs
2100,3,3.235584ms
2100,3,3.139459ms
2100,2,17.5µs
2150,1,5.584µs
2150,1,3.216875ms
2150,2,3.212667ms
2200,2,4.333µs
2200,2,3.708µs
2200,3,19.75µs
2250,1,3.583µs
2250,3,7.125µs
2250,2,4.047166ms
2300,2,6.708µs
2300,3,93.917µs
2300,3,83.833µs
2350,1,6.709µs
2350,1,19.084µs
2350,2,6.333µs
2400,3,4.403833ms
2400,2,20.459µs
2400,3,20.25µs
2450,1,5.625µs
2450,1,18.458µs
2450,1,5.208µs
2500,3,4.306042ms
2500,3,7.417µs
2500,1,18.417µs
2550,3,119.541µs
2550,2,19.458µs
2550,3,4.302041ms
2600,3,9.334µs
2600,3,6.875µs
2600,3,6.833µs
2650,2,20.291µs
2650,3,120.208µs
2650,3,20.042µs
2700,1,121.625µs
2700,3,4.916µs
2700,2,3.875µs
2750,3,125.583µs
2750,1,3.292µs
2750,3,4.5575ms
2800,3,128.417µs
2800,3,4.583µs
2800,1,121.333µs
2850,1,125.5µs
2850,2,125.417µs
2850,3,124.791µs
2900,2,21.625µs
2900,2,9.916µs
2900,2,4.125µs
2950,2,4.809834ms
2950,1,4.690917ms
2950,1,7.958µs
3000,2,11.083µs
3000,1,4.333µs
3000,3,5.75µs
3050,3,12.583µs
3050,1,4.292µs
3050,3,163.417µs
3100,1,4.583µs
3100,3,5.023167ms
3100,2,10.417µs
3150,3,12.292µs
3150,3,5.791µs
3150,1,18.917µs
3200,3,6.958µs
3200,3,23.417µs
3200,1,9.083µs
3250,2,252.292µs
3250,3,5.268292ms
3250,2,5.459µs
3300,1,256.459µs
3300,3,5.295375ms
3300,1,19.875µs
3350,1,5.25725ms
3350,2,22.708µs
3350,1,4.334µs
3400,1,4.834µs
3400,2,10.584µs
3400,3,270.583µs
3450,3,11.584µs
3450,2,5.430584ms
3450,2,10.834µs
3500,1,22.417µs
3500,2,5.5465ms
3500,2,5.385666ms
3550,2,310.292µs
3550,3,30.792µs
3550,3,5.597583ms
3600,3,5.562459ms
3600,1,4.375µs
3600,3,11.375µs
3650,3,12.417µs
3650,1,29.292µs
3650,1,4.292µs
3700,3,35.292µs
3700,3,6µs
3700,1,4µs
3750,2,6.125µs
3750,1,4.125µs
3750,2,32.25µs
3800,1,5.918125ms
3800,1,9.875µs
3800,2,5.737708ms
3850,2,5.806209ms
3850,2,31.916µs
3850,3,31.833µs
3900,2,33.834µs
3900,1,10.291µs
3900,1,4.5µs
3950,1,5.925292ms
3950,3,6.375µs
3950,2,33.042µs
4000,3,13.75µs
4000,1,4.208µs
4000,2,5.209µs
4050,1,10.333µs
4050,3,5.75µs
4050,2,4.917µs
4100,2,6.006666ms
4100,1,5.950334ms
4100,3,13.416µs
4150,3,6.098292ms
4150,2,32.958µs
4150,3,32.542µs
4200,1,6.053292ms
4200,2,12.75µs
4200,3,5.99075ms
4250,2,6.082667ms
4250,2,477µs
4250,3,466.209µs
4300,2,12.833µs
4300,2,6.119083ms
4300,2,5.542µs
4350,2,35.292µs
4350,1,479.292µs
4350,2,34.167µs
4400,1,5.333µs
4400,1,30.833µs
4400,2,5.375µs
4450,3,13.958µs
4450,1,11.083µs
4450,1,10.666µs
4500,1,504.792µs
4500,3,33.042µs
4500,3,6.383125ms
4550,1,498.458µs
4550,2,6.386084ms
4550,3,13.875µs
4600,3,7.166µs
4600,2,563.5µs
4600,3,546.25µs
4650,3,13.625µs
4650,3,521.875µs
4650,2,6.359875ms
4700,1,11.833µs
4700,1,4.292µs
4700,1,4.083µs
4750,2,36.292µs
4750,3,34.917µs
4750,1,536.542µs
4800,2,600.167µs
4800,3,530.834µs
4800,3,13.167µs
4850,1,6.575541ms
4850,1,531.625µs
4850,3,6.521583ms
4900,3,557.833µs
4900,1,6.515125ms
4900,2,6µs
4950,1,31.792µs
4950,2,34.25µs
4950,2,32.209µs
5000,2,33.209µs
5000,1,30.542µs
5000,1,570.792µs
5050,3,6.5µs
5050,2,32.208µs
5050,2,13.417µs
5100,2,14.166µs
5100,1,34.208µs
5100,2,594.833µs
5150,1,8.027583ms
5150,3,6.583µs
5150,1,11.334µs
5200,1,15.792µs
5200,2,7.967208ms
5200,3,6.125µs
5250,2,624.5µs
5250,1,588.75µs
5250,3,18.334µs
5300,2,33.875µs
5300,2,17µs
5300,1,15µs
5350,2,683.208µs
5350,2,8.051958ms
5350,2,17.167µs
5400,2,631.125µs
5400,2,608.084µs
5400,1,598.458µs
