Document Count,Query,Query Duration Micros
0,﻿The Project Gutenberg eBook of My Life,115
500,never learn any more,47
1000,"all faith in me. She said,",33
1500,I pushed the,22
2000,"Everything was ready, and all the pomp and",35
2500,Where?,596
3000,"sure, poor fellow. So it is. What",105
3500,"paths, staying at whiles to read a name",15
4000,"—Yes? the professor said, skipping to get",16
4500,Penitent thief. Gone.,16
5000,sunt me gratis:,8
5500,in,4596
6000,Six sharps?,7
6500,it but the modern God’s Englishman calls it caning,17
7000,BLOOM: Yes. For my wife. Mrs Marion. Special recipe.,20
7500,fog without the gramophone blares,13
8000,red carpet spread?,19
8500,"now,",1288
9000,"patience the apparition of the diurnal phenomenon, seated on a",19
9500,most sound and perfect. For such a,98
10000,Danube,7
10500,"whispered, “that place we came through--that white place--what",18
11000,"Marilla, as much as could be. But",328
11500,most of the Avonlea people.,84
12000,her advice on such subjects was much sought after.,90
12500,"where else in the world,",313
13000,"to my own house,",1179
13500,For that the island so fully described,82
14000,Romeo.,143
14500,"Juliet, on Thursday early will I rouse ye,",37
15000,"Electric Space!""",40
15500,"London,",180
16000,"has told me ..."" It is",1075
16500,[384] See,17
17000,ONE:,4264
17500,for God’s,551
18000,Her face became,480
18500,some reason blushing,46
19000,it?” said he to Denísov. “It won’t come,83
19500,had been repulsed for the,22
20000,want to be an adjutant? I have been thinking about,84
20500,And so,5821
21000,to evil and death?—death which ends all and must come,20
21500,the armistice to get leave to visit Denísov in hospital.,22
22000,she came to the door. “And Sónya!,184
22500,the case with his bony,35
23000,and with a,13631
23500,"said Pierre, and despite twenty-two degrees of",35
24000,and lowered his eyes.,41
24500,room and with,1461
25000,here? This is unexpected!”,92
25500,and there came to a standstill. For five weeks after,26
26000,getting,445
26500,"a round, graveled space where a three-year-old girl in a",20
27000,fate have,298
27500,"Denísov, coughing angrily. “Why didn’t you",34
28000,what do you think? They make soldiers of all,573
28500,"with vexation of some failure or irregularity,",22
29000,the consciousness,151
29500,chagrin and mortification that,35
30000,"injurious to himself. “My remedies,” said he, “are just beginning",29
30500,"he rapped out. ""We know their Maizie is no",27
31000,pieces of,314
31500,"unexpected impulse, Justin kissed",88
32000,"a benediction, covered his face with his hands, and so",40
32500,mechanical humming of the wheels of his vitality in him.,49
33000,"and rising higher and higher, and disentangling itself",24
33500,CHAPTER 90. Heads or Tails.,65
34000,see!” and once more the,2418
34500,"this electronic work, or",763
35000,virtue of,446
35500,the thief,77
36000,"of the greatest to run risk and danger, and play",154
36500,and a worse,380
37000,am ashamed that I have still to,256
37500,I,18125
38000,"Such things, however, are not said for",1945
38500,Par. 9.,69
39000,"fatal, but we must",156
39500,not think,2395
40000,“Not,16586
40500,"her to one side, and, rushing to the",99
41000,from the charge of sensationalism which has been,18
41500,114,26
42000,how does my old lady?,984
42500,thou talk’st of; serve,14
43000,own,4075
43500,Enter Antony and,311
44000,my,10673
44500,cannot be! Some villains of,42
45000,"No, I protest, I know not the",70
45500,Syracuse.,223
46000,Enter,984
46500,deserve,83
47000,"given, he might have",1349
47500,"my mistress, if in the holding or loss of that",353
48000,th’ owl and morn to th’ lark less,38
48500,"before, and",5390
49000,[_Exit Queen._],367
49500,Enter a Messenger.,315
50000,we’ll be revenged on,19
50500,"pray you,",837
51000,Fang,19
51500,ARCHBISHOP. What well-appointed leader fronts,17
52000,"sovereign, Shall be a wall sufficient to defend",102
52500,"No, thou proud dream, That play’st",16
53000,the Mayor of London and his,74
53500,the liberty of flight; And no way canst thou turn,198
54000,a,39165
54500,CLERK. Emmanuel.,13
55000,bliss and joy. Why do,127
55500,thinks me Henry. But what said Lady,253
56000,him every minute With words,273
56500,"GENTLEMAN. It is, and all the rest are countesses.",21
57000,"I do beseech you, madam,",191
57500,thou lead these men,357
58000,"will! We’ll hear it, Antony; You shall",814
58500,King had more affected the Duke,273
59000,"KENT. With the earl, sir, here within.",185
59500,The safer sense will ne’er accommodate His,47
60000,"As I have read, sir; and the best of",1205
60500,"O, we have made a vow",134
61000,"will befall, I’ll jest a",60
61500,"him, we thirst,",88
62000,Groping for trouts in a,13
62500,DUKE. And,1176
63000,prince,3721
63500,The same.,4057
64000,Which,14574
64500,suspicion!,169
65000,"Alas, what noise?",350
65500,thou fled? Speak. In some bush? Where dost thou hide,88
66000,Nor,2134
66500,"LEONATO. Are these things spoken, or do",173
67000,But,20746
67500,Do not you,11639
68000,DESDEMONA. Wouldst thou do such a deed for all the,249
68500,bring thee,1226
69000,"governor, Who craves to come aboard. What is your",53
69500,"with him indeed, my",1478
70000,[_She spits at him._],44
70500,"scorn he gives his uncle, He prettily",32
71000,"Harp not on that string, madam;",58
71500,"as thou loves me,",511
72000,"CAPULET. Why, how now, Juliet?",315
72500,"Signior Baptista, will you be so",29
73000,PHILIP. How,167
73500,"Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo and others.",22
74000,of his daughter; he himself Calls her a nonpareil: I,28
74500,"lord, there",4680
75000,but,22274
75500,Enter Chiron and Demetrius.,49
76000,TAMORA. Why hast thou slain thine only daughter thus?,153
76500,Let Ajax go to him. Dear,125
77000,oppos’d already.,32
77500,Andrew.,1356
78000,"sir, to bring a Cressida",319
78500,me see,7727
79000,LANCE.,135
79500,"Come, bring her away.",1407
80000,Come forth and,1296
80500,The melancholy,367
81000,conspiring with Camillo to,20
81500,FIRST GENTLEMAN. What became of his,1096
82000,"he lies, and breatheth in her face. She",19
82500,"like,” said the Footman, and began",144
83000,_whatever?_” persisted,42
83500,I went,4311
84000,"set down! Jedus, I’m glad",14
84500,smell good. A fresh cold is got my nose,349
85000,eel-stew scented the air. The stout,17
85500,was mighty forgetful and careless. Nobody could depend on him.,40
86000,in de cotton.”,133
86500,the grim reply of Monsieur Defarge.,49
87000,"of life hung ripening, waters of Hope that sparkled in",31
87500,his fist on the desk.,90
88000,"the Doctor, in a subdued tone, “some",93
88500,rushed in to work at the grindstone; it had,37
89000,"carriage door, I also observed that they both",356
89500,"Cruncher, amazed, “at all",100
90000,"infant, and the lively",95
90500,"Torvald, we may be",17
91000,NORA. But I suppose your daughter has quite,486
91500,know that was our agreement.,543
92000,"careful in this respect, then”--He",15
92500,presage of horror!,46
93000,asked,2695
93500,may have most cause to fear.” To this,1387
94000,to even,6069
94500,"""Always.""",2697
95000,"the right one appears, I prefer my own wild",141
95500,"And as for Léonie--well, if she comes here,",20
96000,to me.,25769
96500,"don't hate her. And if she knew all--she couldn't--hate me.""",34
97000,"Paradise?"" said",86
97500,"closed on him,",652
98000,“That’s my concern; I will make him speak.”,253
98500,boy found him sitting where D’Artagnan,200
99000,placed against,647
99500,"little idol, whom he will",78
100000,"famous gag, in the form of a pear, which,",30
100500,“Rest assured; put the gag,37
101000,give the fifty pistoles to the hostess,54
101500,the four grooms.”,57
102000,"did not say France, my lord; I said the",1024
102500,Comminges immediately left,57
103000,"much against him before me, for",3894
103500,"no room for him, he will rejoin your eminence.”",55
104000,to,79495
104500,“Why don’t we go in with them?”,2809
105000,presence of such,903
105500,his fingers were covered,549
106000,partition nor move with a,38
106500,“Why?”,5032
107000,have been here,8848
107500,Several horsemen ran quickly to him.,113
108000,"cat, who can resist",155
108500,of and took the,4799
109000,as Mrs. Frederick herself could have done. He had “no,324
109500,"on John Foster,” said Valancy severely. “No one could",79
110000,had not dreamed of meaning . . . she was,192
110500,for,44120
111000,her courage failed,366
111500,Carolines—”,34
112000,"uncles enough to fill _all_ Cheapside,” cried Bingley, “it",33
112500,"yet, however,",2872
113000,CHAPTER XXXVII.,59
113500,“EDW. GARDINER.”,21
114000,she stood at,2523
114500,I;,76024
115000,my sister.,1705
115500,Biddy to-day and somebody,154
116000,Flopson and Millers had,51
116500,the,141646
117000,could to,13155
117500,the spot I wanted was,605
118000,be perfectly free and safe again within a few hours.”,646
118500,"river, in which proposed to have",394
119000,happened; to which he made no other,1414
119500,They were so serious and,693
120000,push to catch the morning,194
120500,“How,12151
121000,even when I hold you in my arms.” He stretched,375
121500,electronic,1245
122000,Laurence waving his hat,39
122500,wait upon her. The childless old lady had offered to,40
123000,fool of that little girl; I wanted you to see,1204
123500,"""If I tell mine, will",3773
124000,where all these pretty things would go,1402
124500,up where wine is as,1100
125000,so you must resign yourself to,93
