Document Count,Query,Query Duration Micros
0,life ebook gutenberg volume 1 the gutenberg the,40
50,and and was was in was was,77
100,of me who of,71
150,that that that that not,143
200,was was he,186
250,to to of the of to of,476
300,i so in in i in,168
350,of of,786
400,in,617
450,was was,711
500,which my the the the,683
550,i in i in me that i,733
600,me to the to,874
650,of of,1487
700,from in in that,680
750,had in,1219
800,i person of of of of of i his,82
850,my to to,1452
900,the i the the i,1664
950,me all during me an,289
1000,had had had to to to,1695
1050,i been i of of i i of of i,948
1100,a the of had a the a the of the,1986
1150,was to the the the to,2149
1200,that that that came that that that that good that,317
1250,to a to a to,2361
1300,had and had were and had and be,984
1350,and and and and,2763
1400,he of,1438
1450,was in,2363
1500,an his an his his his we his,653
1550,my had and my,2221
1600,of,2670
1650,the to to to are had had the had the,303
1700,and,2775
1750,the the the the the the the which,1744
1800,the the i and,2605
1850,to that to to that my,2386
1900,the the to the the the in i,2810
1950,to to to to my to,2328
2000,of in of in of of i of in,2816
2050,which,1422
2100,of his the the the of the the of,2036
2150,the the the the the the the the the but,2264
2200,of is,781
2250,and and and to and he and to to,2407
2300,the the it the it was the was,2275
2350,and and and to to to to and to to,3835
2400,the by the the but the,1941
2450,of that,2699
2500,and,4046
2550,the the seemed,509
2600,a was was of was a it of,2803
2650,the the the,6083
2700,had had longer we,242
2750,the the,6090
2800,the the the the there the,1088
2850,me i i me me i i,2161
2900,the the the the the,6285
2950,of so of of of of of,1481
3000,for he i,2494
3050,the the the,6362
3100,and i and that i i and and i and,3175
3150,the and the the was the the the was the,2891
3200,must the in the,571
3250,and,4435
3300,by were to,1266
3350,the,5563
3400,the they the of the take,517
3450,of had had of of had,2611
3500,a to,4679
3550,the the the,6827
3600,the,5677
3650,the had the the take the had the,516
3700,which he he at this,2077
3750,of i of at,2533
3800,he the the the was the the the the you,1334
3850,the the the the the the the the,7057
3900,to and the the,5107
3950,he and he he with and it,2790
4000,the to irresistible the the the,28
4050,on on in my in was so,1526
4100,of of of a and a and a,4575
4150,the as the the the the as as the the,2754
4200,and that and who was and was that and,1384
4250,the had the the the with had the,2753
4300,and and and and and and and a,4693
4350,the the,7426
4400,a the the the,4757
4450,in for in will in for for,789
4500,the old the,705
4550,the the the,7720
4600,the to the,6649
4650,my as to as to at my as to to,2595
4700,of,4919
4750,the the the the the to it the to the,3105
4800,and and and and work and,756
4850,the the,7770
4900,the,6530
4950,and out i and a i i,1564
5000,the the to to the the the the the to,5394
5050,and,5056
5100,which my my my my my which away he he,663
5150,the and with the the the me the his,2506
5200,that that his to to,3025
5250,the to to the the the to in to,4858
5300,me his and his his as,2374
5350,the the the the the was the,3581
5400,on give to to to his this to to his,550
5450,to for to of the the of,2964
5500,and said and me and and,2454
5550,that of that the,3923
5600,to to the,5463
5650,was of was of of,3171
5700,that the the the the the,4364
5750,a for his in his in in in do,1000
5800,that i i a that a a a a a,3886
5850,were were matter time were them them,278
5900,the my that the,2637
5950,work were,664
6000,what was,1388
6050,the the the i and and,4839
6100,the,9274
6150,and and and a a and a a,5527
6200,of the of the,6321
6250,her the the the the his the his,2136
6300,the the the i the the however i i the,707
6350,a to a a to the and and the the,5634
6400,the now i the the the the and the,1298
6450,sent for the,275
6500,on it his it let his his always on,347
6550,i the i the the,4576
6600,be and had had,2552
6650,a and and and a a a a a,6057
6700,the the the,10913
6750,i of,5279
6800,the,10249
6850,it the the,4304
6900,the the to the the the the the,8432
6950,the,10523
7000,the the was the the and was the,4730
7050,and the the and all the a the,2956
7100,the the the the the the the,12385
7150,on at on on now now,1387
7200,and and with he and,4740
7250,the the the i the the and and the,5532
7300,with is with merely with is with with is is,160
7350,his his his his his his,4975
7400,and and at and,3562
7450,was in was was was for her for in i,3022
7500,and and and from and and and and,2879
7550,in in the the the the,6379
7600,the the him that the the,2888
7650,the as to the the as and that and,3099
7700,and the and i and,5401
