Document Count,Term List Size
0,636
50,56436
100,160476
150,246096
200,289716
250,348696
300,409956
350,474036
400,486036
450,539196
500,566376
550,594996
600,619296
650,647256
700,674256
750,704856
800,729396
850,748836
900,776556
950,812736
1000,828396
1050,845436
1100,854916
1150,866316
1200,876876
1250,883956
1300,889296
1350,900876
1400,903936
1450,906276
1500,913536
1550,918696
1600,923256
1650,927876
1700,929976
1750,930276
1800,935136
1850,939696
1900,943056
1950,945576
2000,951516
2050,956736
2100,958236
2150,962316
2200,970056
2250,975876
2300,980496
2350,984036
2400,986976
2450,993876
2500,997296
2550,1003056
2600,1008996
2650,1017156
2700,1020696
2750,1039296
2800,1076856
2850,1091316
2900,1100376
2950,1106076
3000,1119276
3050,1125936
3100,1141116
3150,1147476
3200,1151976
3250,1157496
3300,1159776
3350,1166976
3400,1173516
3450,1176876
3500,1185036
3550,1193196
3600,1197756
3650,1203576
3700,1208376
3750,1210656
3800,1213896
3850,1217376
3900,1220736
3950,1226916
4000,1231956
4050,1235796
4100,1244736
4150,1253136
4200,1264836
4250,1276416
4300,1285056
4350,1295436
4400,1298016
4450,1303116
4500,1310136
4550,1315056
4600,1323096
4650,1331976
4700,1337616
4750,1345536
4800,1357416
4850,1364556
4900,1369896
4950,1374756
5000,1382016
5050,1384716
5100,1389936
5150,1393476
5200,1397556
5250,1402536
5300,1405776
5350,1412076
5400,1414716
5450,1417416
5500,1429236
5550,1432836
5600,1435476
5650,1439376
5700,1442316
5750,1445076
5800,1447896
5850,1452156
5900,1455816
5950,1460556
6000,1465356
6050,1470756
6100,1473156
6150,1480836
6200,1497816
6250,1502796
6300,1508736
6350,1529136
6400,1537596
6450,1542576
6500,1554756
6550,1562556
6600,1568916
6650,1581996
6700,1591716
6750,1606896
6800,1620636
6850,1649136
6900,1749636
6950,1759596
7000,1767156
7050,1772976
7100,1778436
7150,1786716
7200,1798596
7250,1803636
7300,1815876
7350,1824036
7400,1829916
7450,1838376
7500,1847256
7550,1862256
7600,1871676
7650,1876836
7700,1882476
7750,1893036
7800,1899636
7850,1905576
7900,1907496
7950,1909656
8000,1915596
8050,1922616
8100,1927536
8150,1932696
8200,1937376
8250,1943916
8300,1944996
8350,1953216
8400,1961856
8450,1970436
8500,1977036
8550,1990896
8600,2006496
8650,2018076
8700,2036196
8750,2045256
8800,2052156
8850,2061996
8900,2067336
8950,2077176
9000,2087436
9050,2093856
9100,2112396
9150,2129496
9200,2137896
9250,2146476
9300,2182596
9350,2182716
9400,2195436
9450,2209476
9500,2216976
9550,2224416
9600,2228496
9650,2232876
9700,2238696
9750,2242236
9800,2248116
9850,2252436
9900,2258256
9950,2266416
10000,2270616
10050,2273676
10100,2276496
10150,2276556
10200,2280036
10250,2282856
10300,2286276
10350,2291196
10400,2291196
10450,2297496
10500,2302296
10550,2305236
10600,2307156
10650,2309616
10700,2313336
10750,2314776
10800,2317896
10850,2321736
10900,2324436
10950,2328036
11000,2331696
11050,2334156
11100,2336796
11150,2340636
11200,2343276
11250,2345856
11300,2348616
11350,2351616
11400,2354076
11450,2355636
11500,2358876
11550,2361516
11600,2364576
11650,2368056
11700,2370996
11750,2373456
11800,2376456
11850,2379456
11900,2383056
11950,2386716
12000,2390496
12050,2395296
12100,2401716
12150,2403936
12200,2406876
12250,2408496
12300,2408616
12350,2416656
12400,2423736
12450,2430876
12500,2436516
12550,2440776
12600,2446956
12650,2453076
12700,2457996
12750,2462676
12800,2466336
12850,2474076
12900,2477856
12950,2482596
13000,2486016
13050,2487456
13100,2489196
13150,2491956
13200,2496396
13250,2499096
13300,2501256
13350,2504916
13400,2508696
13450,2516076
13500,2521476
13550,2528076
13600,2532816
13650,2534376
13700,2535876
13750,2536176
13800,2538816
13850,2541456
13900,2544276
13950,2548116
14000,2549976
14050,2551716
14100,2553996
14150,2555496
14200,2557116
14250,2558556
14300,2560476
14350,2564136
14400,2567196
14450,2568756
14500,2569836
14550,2572476
14600,2573676
14650,2575776
14700,2577336
14750,2578656
14800,2580096
14850,2581716
14900,2593836
14950,2599236
15000,2615196
15050,2626656
15100,2644896
15150,2651496
15200,2663496
15250,2672136
15300,2681976
15350,2691876
15400,2703936
15450,2716776
15500,2725716
15550,2740836
15600,2755596
15650,2769636
15700,2777436
15750,2786016
15800,2797416
15850,2812416
15900,2838756
15950,2849256
16000,2860536
16050,2870736
16100,2912796
16150,2918196
16200,2923296
16250,2931696
16300,2937336
16350,2941956
16400,2945136
16450,2949276
16500,2955096
16550,2964576
16600,2974596
16650,2982696
16700,2989296
16750,2999916
16800,3006336
16850,3008256
16900,3008976
