Document Count,Query,Query Duration Micros
0,of My Life,159
500,"symphony, Romeo and Juliet, at one of which I was",38
1000,"Paris schemes. When,",26
1500,which a number,105
2000,married; and,159
2500,—Very good. Where?,660
3000,So it is.,1237
3500,"The mourners moved away slowly without aim, by",39
4000,"—Yes? the professor said, skipping to get into step.",23
4500,baccy. Green twinkling stone. An,21
5000,page of his breviary. _Sin: Principes,17
5500,Peep! Who’s in the... peepofgold?,17
6000,sharps?,7
6500,but the,2778
7000,BLOOM: Yes. For my wife. Mrs Marion. Special recipe.,29
7500,from her.,2661
8000,a,6562
8500,"it now, he ventured to say",46
9000,"Once, in 1887, after",19
9500,"The most compendious, is",24
10000,in Upper Pannonia.,18
10500,came through--that white place--what was,24
11000,"Marilla, as much as could be. But you",378
11500,actuated by,38
12000,and her advice on such subjects was,87
12500,the ends of the world.,76
13000,not often show herself even to the,378
13500,"the island of Favognana, which you",31
14000,Enter Romeo.,125
14500,"Till then,",977
15000,O,774
15500,of negative powers;,46
16000,to it,10813
16500,Vol.,187
17000,ONE: 1805,26
17500,have asked Golítsyn and,25
18000,face became sad.,222
18500,your,2531
19000,about it?” said he to Denísov. “It won’t come to,114
19500,"guns moved forward, surrounded by the humming infantry as",53
20000,so you still want to be,807
20500,And so you no longer wish,506
21000,"at me,” he thought. “And",1786
21500,leave to visit,384
22000,lovely!”,296
22500,"fingerboard, arching his left elbow with a",27
23000,was pervaded by that atmosphere,35
23500,Fahrenheit he threw open the,29
24000,was what he,6374
24500,entered the room and with a deep bow to Princess,212
25000,a surprise!”,289
25500,remained,503
26000,going to stop them?” replied,292
26500,behind the house the Frenchman pulled Pierre by the,125
27000,have spent my life in falsity? I,32
27500,play the fool!” said,210
28000,"“Well, what do you think? They",2113
28500,"of some failure or irregularity, he would",34
29000,"subject to reasoning and to experience, but in",97
29500,to address myself in,240
30000,that credit which is,188
30500,charlatans who,23
31000,picking its teeth with pieces,91
31500,"an unexpected impulse, Justin kissed his wife on the",108
32000,"people had departed, and he was left alone in the",101
32500,"to heighten its lustre,",30
33000,"In the distance, a great white mass lazily rose, and",69
33500,Heads or Tails.,69
34000,supernaturalness in their,20
34500,"this electronic work, or any part of this electronic",655
35000,Jealous is,140
35500,craving of hunger it measureth him who hath abundance;,28
36000,It is the surrender of the greatest to run risk,106
36500,"torture wearieth, and a",21
37000,and stammer like the poets:,35
37500,for,20583
38000,sheep’s claws shall not grasp!,43
38500,Par. 9.,81
39000,stretch a point in favour,97
39500,silence. “Why does fate play,568
40000,“Not particularly.”,605
40500,"her to one side, and, rushing to the",109
41000,"“And yet,” said",2682
41500,114,37
42000,"keep them on, have them still. O, my knave how",62
42500,my purse. I give thee not this to suggest,101
43000,"easy, but",634
43500,Antony and Canidius.,20
44000,false huswife Fortune break her,28
44500,sufferance in,20
45000,"protest, I know",74
45500,Enter Dromio of,175
46000,Enter,920
46500,may deserve your loves.,100
47000,"had been cannibally given, he might have boiled and eaten",30
47500,"honour of my mistress, if in the",352
48000,ARVIRAGUS. The night to th’ owl and morn to th’,45
48500,stalk hath he gone by our,43
49000,[_Exit,406
49500,Enter a,1416
50000,"HOTSPUR. He does, he does, we’ll be revenged on him.",41
50500,"you,",18682
51000,"Officers,",594
51500,leader,120
52000,"marches,",41
52500,whose sense no more can feel But,683
53000,of London and his Officers.,589
53500,spirit. This is,1147
54000,Enter,2180
54500,CLERK. Emmanuel.,23
55000,that swears. Henry had,72
55500,Belike he,68
56000,"a Chartreux friar, His confessor, who",26
56500,and all the,22083
57000,"madam, be content.",320
57500,not in thy shop today? Why dost thou lead these,153
58000,FOURTH CITIZEN. Read the will! We’ll,265
58500,I thought the King had more affected the Duke,311
59000,"the earl, sir,",215
59500,The safer sense will ne’er accommodate His master,51
60000,sir; and the,3207
60500,"sake, a word that all men",641
61000,jest a twelvemonth,49
61500,"all, and him, we thirst, And",104
62000,Groping for trouts in a peculiar river.,23
62500,DUKE. And you.,1137
