Document Count,Term List Size
0,228
500,361780
1000,539680
1500,590256
2000,612972
2500,640508
3000,714620
3500,755064
4000,785116
4500,833780
5000,880084
5500,909912
6000,932640
6500,991100
7000,1128548
7500,1182128
8000,1228088
8500,1270020
9000,1347584
9500,1437260
10000,1473596
10500,1495144
11000,1516248
11500,1535124
12000,1557588
12500,1589088
13000,1622044
13500,1646732
14000,1663784
14500,1676704
15000,1707740
15500,1784616
16000,1876212
16500,1934052
17000,1964996
17500,1970500
18000,1981200
18500,1994332
19000,2005520
19500,2021792
20000,2031980
20500,2044272
21000,2054156
21500,2070212
22000,2084152
22500,2097880
23000,2109456
23500,2116560
24000,2134924
24500,2149240
25000,2160164
25500,2172520
26000,2182056
26500,2191760
27000,2201072
27500,2217592
28000,2228116
28500,2238988
29000,2253624
29500,2286728
30000,2318456
30500,2341512
31000,2364000
31500,2383844
32000,2420276
32500,2473012
33000,2527960
33500,2578024
34000,2626980
34500,2661896
35000,2678816
35500,2690560
36000,2704140
36500,2718352
37000,2740704
37500,2758648
38000,2776988
38500,2800664
39000,2812996
39500,2822228
40000,2831616
40500,2838724
41000,2845096
41500,2856792
42000,2868504
42500,2875616
43000,2883260
43500,2888536
44000,2895652
44500,2900320
45000,2905972
45500,2913328
46000,2919008
46500,2926476
47000,2931796
47500,2939488
48000,2949296
48500,2957812
49000,2968144
49500,2975284
50000,2985712
50500,2995644
51000,3003640
51500,3011692
52000,3020664
52500,3033196
53000,3045720
53500,3051496
54000,3058272
54500,3064824
55000,3068840
55500,3072660
56000,3078164
56500,3082808
57000,3090880
57500,3097844
58000,3101024
58500,3103480
59000,3109772
59500,3116848
60000,3121924
60500,3128468
61000,3134556
61500,3142712
62000,3149836
62500,3153808
63000,3158576
63500,3166296
64000,3170340
64500,3177976
65000,3182876
65500,3191564
66000,3195556
66500,3198272
67000,3202312
67500,3208296
68000,3211860
68500,3216104
69000,3220504
69500,3226988
70000,3231312
70500,3234540
71000,3237872
71500,3239952
72000,3239952
72500,3242196
73000,3246300
73500,3248636
74000,3254260
74500,3259660
75000,3262712
75500,3268172
76000,3272420
76500,3280008
77000,3284880
77500,3289784
78000,3293472
78500,3296964
79000,3299096
79500,3301824
80000,3307656
80500,3312668
