Document Count,Mean Posting List Size,Std Dev Posting List Size
0,16.88888888888889,2.514157444218836
50,35.713527851458885,86.34675627496189
100,48.01136363636363,159.42234698859698
150,60.32741985683162,258.93700651705245
200,67.92919418758257,315.09895324580657
250,75.30439000727625,368.4437649147692
300,82.94004903053265,423.31271245210024
350,90.63616643660028,497.88587314701704
400,97.09972247918594,555.7183840222929
450,102.47544761567099,601.5240268770543
500,108.3667348329925,654.9226915442495
550,113.85090967638061,709.9831271839532
600,118.78446541853629,760.9291992611086
650,123.8453639383872,806.7728346773224
700,128.73755522827688,848.3724876544765
750,134.52755116645199,902.2784653328202
800,139.58336809901266,946.0540562035492
850,139.80128205128204,960.6164481785526
