Document Count,Query,Query Duration Micros
0,quantity respectable she,3837
0,she,3541
0,announced The quantity,3385
50,The respectable,2325
50,announced,2181
50,The,2242
100,announced The,2153
100,she respectable The,2151
100,The,2446
150,The she,2349
150,announced The respectable,2144
150,quantity she announced,2289
200,The announced respectable,2482
200,respectable she,2128
200,quantity,2134
250,announced quantity,2279
250,quantity respectable,2212
250,she announced respectable,2240
300,The announced respectable,2707
300,quantity,2186
300,she The quantity,2324
350,The she,2829
350,she respectable,2318
350,quantity The,2352
400,respectable,2224
400,respectable quantity,2275
400,respectable she announced,2215
450,announced she,2227
450,announced she The,2267
450,quantity respectable,2362
500,respectable announced The,2187
500,respectable The quantity,2152
500,she,2509
550,quantity announced,2369
550,announced respectable,2333
550,respectable,2136
600,she quantity,2301
600,quantity,2146
600,respectable she,2254
650,announced she,2181
650,she quantity,2277
650,The respectable she,3512
700,announced respectable quantity,2249
700,announced The she,2258
700,announced respectable,2216
750,The,3711
750,she The,2354
750,The quantity,3369
800,announced The,2203
800,The quantity she,3967
800,The quantity she,3451
850,respectable quantity she,2178
850,respectable quantity she,2232
850,respectable,2124
