Document Count,Mean Posting List Size,Std Dev Posting List Size
0,16.88888888888889,2.514157444218836
50,35.61904761904762,85.63337745200315
100,47.94326241134752,158.86337587549122
150,60.27114427860697,258.4711385548777
200,67.85748218527316,314.60213913592446
250,75.23334141022535,367.9394362003976
300,82.86795813849922,422.822003716462
350,90.55003940110323,497.3374308773595
400,96.78185506177392,554.5037962587606
450,102.04977934686673,599.9601501862551
500,107.93482688391039,653.2989331783027
550,113.42165196471532,708.3324232935059
600,118.33538840937115,759.187592892179
650,123.35087983155361,804.8671104493794
700,128.20178911863908,846.2474185522756
750,133.96380219467008,900.005083101709
800,139.01454092230992,943.7445976516218
850,139.2355366405107,958.2977286603061
