Document Count,Mean Posting List Size,Std Dev Posting List Size
0,16.88888888888889,2.514157444218836
500,108.3667348329925,654.9226915442495
1000,163.92533333333333,1119.565052103519
1500,247.70346666666666,1708.8248380104126
2000,326.9472,2234.468051210137
2500,411.0304,2831.0033091012997
3000,495.2704,3395.951795645886
3500,568.0352,3899.7046850021366
4000,657.7397333333333,4521.4307685356935
4500,736.2944,5048.965144581144
5000,819.2810666666667,5638.423859525657
5500,903.4773333333334,6198.92677024173
6000,979.3450666666666,6730.501059177965
6500,1065.0517333333332,7318.2304882708495
7000,1145.1274666666666,7862.406750795347
7500,1228.4896,8450.232691282836
8000,1307.3258666666666,8971.603956302592
8500,1391.4101333333333,9569.268758788416
9000,1474.8714666666667,10128.373569835674
9500,1548.3605333333333,10636.647583251142
10000,1638.6058666666668,11263.747321875562
10500,1715.9498666666666,11781.563333939177
11000,1799.3472,12375.052666543235
11500,1883.6725333333334,12935.319611192414
12000,1958.6314666666667,13460.326554698313
12500,2045.3973333333333,14055.77273386726
13000,2126.0426666666667,14604.630103609135
13500,2208.5461333333333,15186.214575994192
14000,2288.4522666666667,15714.71974017529
14500,2372.5536,16312.381120696644
15000,2454.554666666667,16862.10770109354
15500,2528.8416,17374.34043836607
16000,2619.293866666667,18004.89712075881
16500,2696.7317333333335,18523.0596101337
17000,2780.1376,19116.26132815025
17500,2863.9093333333335,19672.88936735136
18000,2939.7088,20202.499647122946
18500,3026.3445333333334,20797.485281798614
19000,3106.1088,21340.123756339744
19500,3188.912,21922.595874229613
20000,3269.4624,22458.17270826338
20500,3352.1205333333332,23044.190669497133
21000,3434.8469333333333,23600.57848840231
21500,3510.16,24116.75126508268
22000,3599.0005333333334,24738.579923749334
22500,3677.2074666666667,25262.228045800395
23000,3760.789333333333,25856.836621611037
23500,3844.5738666666666,26413.846960658284
24000,3919.6810666666665,26937.249286555118
24500,4007.1914666666667,27538.545513857614
25000,4086.5045333333333,28078.662501847302
25500,4169.118933333333,28658.836595623612
26000,4250.218666666667,29197.599494409103
26500,4332.448,29780.56829573432
27000,4415.0976,30338.97519848806
27500,4491.352533333334,30860.99642186538
28000,4579.547733333334,31478.424395101505
28500,4657.0432,31996.16067214315
29000,4741.294933333334,32595.265435433215
29500,4824.770133333333,33150.683257826844
30000,4900.1024,33675.011633216214
30500,4987.410133333334,34276.08353614598
31000,5066.062933333334,34810.521541676244
31500,5149.531733333333,35397.20349765397
32000,5230.933333333333,35937.33202240937
32500,5312.4192,36514.43398260663
33000,5396.0576,37082.455442280014
33500,5472.194133333333,37602.08159453114
34000,5559.547733333334,38214.60176600896
34500,5637.175466666667,38731.99970059741
35000,5722.0544,39334.651810605545
