Document Count,Query,Query Duration Micros
0,"﻿The Project Gutenberg eBook of Frankenstein; Or,",183
500,were altered to those of horror and hatred. I tried,34
1000,this discovery was so great,70
1500,was again allowed to breathe the fresh atmosphere and,30
2000,"and was unhappy, but hers also was the",31
2500,still lie. I must arise and examine.,50
3000,"‘By your language, stranger, I",168
3500,"me; let me reveal my tale, and you will dash",39
4000,"“It is well. I go; but remember,",188
4500,“Alphonse Frankenstein.,28
5000,in thy pride of wisdom!,51
5500,reception of me. I,60
6000,Frankenstein;,350
6500,siroc on,45
7000,of my,10789
7500,"said I, “how little do",789
8000,serene conscience and guiltless life to inspire me,86
8500,yet could not,2489
9000,“‘Where do these friends reside?’,59
9500,great and unparalleled,153
10000,"of the basest and most atrocious selfishness, and",54
10500,"arrived, I hurried into a cabriolet, and bade farewell",68
11000,murdered friends heard and approved my,46
11500,different feelings; wiping a few tears,62
12000,"forebodings. I arrived here yesterday, and",83
12500,hopes and prospects are entirely bound up in the expectation,94
13000,with quick,304
13500,see you in less than a fortnight. My poor,211
14000,"beauty of earth,",812
14500,lay,952
15000,are,4502
15500,contrived to earn a pittance scarcely sufficient to support life.,63
16000,on perceiving,268
16500,of my brother? No sooner did that idea cross,165
17000,"my Elizabeth and my departed friends, who",586
17500,"speech, I also learned the science of letters",337
18000,that I may again,2772
18500,been her,5858
19000,"I hope, I sincerely hope, that all these employments",77
19500,"then assuredly take place, in which if he",247
20000,retreats.,72
20500,Use and Redistributing Project Gutenberg™ electronic works,123
21000,by peaceful dreams. The horrible scene,387
21500,Chapter 2,356
22000,"the magistrate, an old benevolent",603
22500,or confine a,127
23000,"expanse before me with anguish, when suddenly my eye caught",123
23500,a blind vacancy in which I distinguished nothing. From,129
24000,"here in Archangel, among merchants and seamen. Yet",82
24500,he now exist? Is this gentle and lovely,310
25000,"By very slow degrees, and with",455
25500,Let the day therefore be fixed; and on it I,1305
26000,by all the,10060
26500,"work, you must comply either",517
27000,the scene and sought for refuge in,406
27500,It is even possible that,699
28000,"and witnesses, passed",640
28500,"father, you are mistaken; Justine",415
29000,"Such a monster has, then, really existence! I cannot",708
29500,at the same time,4321
30000,July,195
30500,care or bitter recollection. I often refused to accompany,225
31000,letter into my hands. It was from my,2073
31500,our voyage,1000
32000,11,157
32500,any,5903
33000,was but a mockery which insulted my desolate,112
33500,"a strong effort of the spirit of good, but it",582
34000,I fancy it will go hard,784
34500,a,41164
35000,"beloved Sister,",2246
35500,and condemned them to a,1019
36000,4,488
36500,two months in Cumberland and Westmorland. I could,183
37000,"appear on each cheek, which",579
37500,"scene of waters, woods, and mountains, obscured in darkness, yet",192
38000,this emigration I exceedingly lamented the loss of the fire,134
38500,"refund set forth in paragraph 1.F.3, this work is provided",382
39000,him towards whom I have sworn eternal revenge;,302
39500,they were all there—my,115
40000,"been, can death be any",5300
40500,were called who,2395
41000,"dissipate and a free passage be opened, I should",605
41500,virtues and to deprecate the vices of mankind.,115
42000,"one side of the vessel,",671
42500,"hinges. I ordered it to be repaired, bought some furniture,",139
43000,Krempe had now commenced an eulogy,130
43500,might have supposed her asleep. I,226
44000,quickly dispatched.,116
44500,up to date contact information can be found at the,224
45000,17,1148
45500,began,2581
46000,regarded me with a troubled countenance. He could,629
46500,a desire to see,2984
47000,12th.,215
47500,understanding improved so much with every day’s,631
48000,“Yes.”,569
48500,saw,8403
49000,"return, I found the following",1266
49500,me.,41963
50000,none,1908
50500,Project Gutenberg™ eBooks with only a loose,507
51000,not as his maker owe him all the,336
51500,acquaintance of the men of science of,168
52000,"father,” replied I; “some destiny of the most horrible",1363
52500,"from me, dear lady, to submit in patience",177
53000,ideas are already disturbed by the near approach,1056
53500,few minutes before the,1182
54000,find no friend,2455
54500,condescension. Remember that I have,243
55000,with extreme difficulty.,1385
55500,pursue,2106
56000,was reflected in the mirror; and when I became,181
56500,1993 [eBook #84] Most,174
