Document Count,Term List Size
0,296
500,217584
1000,281016
1500,281016
2000,281016
2500,281016
3000,281016
3500,281016
4000,281016
4500,281016
5000,281016
5500,281016
6000,281016
6500,281016
7000,281016
7500,281016
8000,281016
8500,281016
9000,281016
9500,281016
10000,281016
10500,281016
11000,281016
11500,281016
12000,281016
12500,281016
13000,281016
13500,281016
14000,281016
14500,281016
15000,281016
15500,281016
16000,281016
16500,281016
17000,281016
17500,281016
18000,281016
18500,281016
19000,281016
19500,281016
20000,281016
20500,281016
21000,281016
21500,281016
22000,281016
22500,281016
23000,281016
23500,281016
24000,281016
24500,281016
25000,281016
25500,281016
26000,281016
26500,281016
27000,281016
27500,281016
28000,281016
28500,281016
29000,281016
29500,281016
30000,281016
30500,281016
31000,281016
31500,281016
32000,281016
32500,281016
33000,281016
33500,281016
34000,281016
34500,281016
35000,281016
35500,281016
36000,281016
36500,281016
37000,281016
37500,281016
38000,281016
38500,281016
39000,281016
39500,281016
40000,281016
40500,281016
41000,281016
41500,281016
42000,281016
42500,281016
43000,281016
43500,281016
44000,281016
44500,281016
45000,281016
45500,281016
46000,281016
46500,281016
47000,281016
47500,281016
48000,281016
48500,281016
49000,281016
49500,281016
50000,281016
50500,281016
51000,281016
51500,281016
52000,281016
52500,281016
53000,281016
53500,281016
54000,281016
54500,281016
55000,281016
55500,281016
56000,281016
56500,281016
57000,281016
57500,281016
58000,281016
58500,281016
59000,281016
59500,281016
60000,281016
60500,281016
61000,281016
61500,281016
62000,281016
62500,281016
63000,281016
63500,281016
64000,281016
64500,281016
65000,281016
65500,281016
66000,281016
66500,281016
67000,281016
67500,281016
68000,281016
68500,281016
69000,281016
69500,281016
70000,281016
70500,281016
71000,281016
71500,281016
72000,281016
72500,281016
73000,281016
73500,281016
74000,281016
74500,281016
75000,281016
75500,281016
76000,281016
76500,281016
77000,281016
77500,281016
78000,281016
78500,281016
79000,281016
79500,281016
80000,281016
80500,281016
81000,281016
81500,281016
82000,281016
82500,281016
83000,281016
83500,281016
84000,281016
84500,281016
85000,281016
85500,281016
86000,281016
86500,281016
87000,281016
87500,281016
88000,281016
88500,281016
89000,281016
89500,281016
90000,281016
90500,281016
91000,281016
91500,281016
92000,281016
92500,281016
93000,281016
93500,281016
94000,281016
94500,281016
95000,281016
95500,281016
96000,281016
96500,281016
97000,281016
97500,281016
98000,281016
98500,281016
99000,281016
99500,281016
100000,281016
100500,281016
101000,281016
101500,281016
102000,281016
102500,281016
103000,281016
103500,281016
104000,281016
104500,281016
105000,281016
105500,281016
106000,281016
106500,281016
107000,281016
107500,281016
108000,281016
108500,281016
109000,281016
109500,281016
110000,281016
110500,281016
111000,281016
111500,281016
112000,281016
112500,281016
113000,281016
113500,281016
114000,281016
114500,281016
115000,281016
115500,281016
116000,281016
116500,281016
117000,281016
117500,281016
118000,281016
118500,281016
119000,281016
119500,281016
120000,281016
120500,281016
121000,281016
121500,281016
122000,281016
122500,281016
123000,281016
123500,281016
124000,281016
124500,281016
125000,281016
125500,281016
126000,281016
126500,281016
127000,281016
127500,281016
128000,281016
