Document Count,Tokens in Query,Query Duration Micros
0,3,5
0,3,2
0,1,1
50,1,2
50,1,1
50,2,2
100,3,58
100,2,224
100,3,6
150,1,11
150,2,1
150,1,41
200,2,401
200,2,2
200,2,1
250,2,6
250,1,3
250,3,445
300,3,7
300,1,586
300,1,1
350,2,9
350,3,700
350,3,5
400,1,4
400,3,4
400,3,4
450,3,5
450,1,3
450,2,3
500,3,5
500,1,3
500,1,3
550,2,866
550,1,841
550,1,4
600,2,1131
600,2,4
600,3,7
650,2,164
650,3,4
650,1,3
700,1,1230
700,2,4
700,3,149
750,2,4
750,3,4
750,2,3
800,3,11
800,3,4
800,3,4
850,2,156
850,3,4
850,3,11
