Document Count,Indexing Duration Micros
0,203
1,164
2,7
3,6
4,26
5,6
6,19
7,13
8,5
9,2
10,5
11,45
12,55
13,94
14,58
15,42
16,4
17,43
18,58
19,75
20,66
21,29
22,4
23,4
24,252
25,2
26,3
27,8
28,16
29,16
30,14
31,18
32,25
33,12
34,15
35,17
36,35
37,38
38,23
39,48
40,20
41,49
42,10
43,30
44,21
45,45
46,42
47,11
48,19
49,12
50,7
51,10
52,19
53,24
54,38
55,17
56,13
57,15
58,23
59,3
60,36
61,8
62,9
63,32
64,7
65,7
66,5
67,161
68,7
69,7
70,18
71,4
72,25
73,8
74,4
75,30
76,33
77,38
78,3
79,14
80,40
81,13
82,22
83,21
84,29
85,13
86,17
87,20
88,8
89,266
90,20
91,27
92,133
93,36
94,164
95,154
96,19
97,23
98,14
99,129
100,3
101,32
102,29
103,16
104,6
105,10
106,8
107,24
108,14
109,14
110,4
111,3
112,4
113,18
114,34
115,160
116,14
117,251
118,10
119,135
120,2
121,25
122,39
123,15
124,13
125,15
126,45
127,17
128,18
129,16
130,109
131,17
132,90
133,23
134,17
135,18
136,117
137,18
138,2
139,6
140,9
141,39
142,42
143,74
144,15
145,300
146,6
147,96
148,7
149,72
150,15
151,9
152,8
153,10
154,49
155,17
156,11
157,26
158,16
159,11
160,9
161,6
162,83
163,18
164,3
165,6
166,5
167,4
168,7
169,21
170,49
171,1
172,87
173,77
174,87
175,29
176,2
177,11
178,7
179,17
180,39
181,3
182,8
183,6
184,14
185,67
186,16
187,12
188,50
189,11
190,388
191,17
192,119
193,31
194,52
195,39
196,14
197,32
198,80
199,43
200,17
201,15
202,204
203,14
204,20
205,45
206,8
207,56
208,7
209,4
210,6
211,14
212,1
213,5
214,19
215,23
216,91
217,33
218,14
219,38
220,30
221,46
222,24
223,29
224,83
225,25
226,58
227,67
228,8
229,57
230,32
231,8
232,8
233,11
234,9
235,7
236,20
237,950
238,14
239,87
240,26
241,97
242,5
243,3
244,11
245,6
246,38
247,29
248,56
249,11
250,23
251,31
252,1
253,15
254,125
255,10
256,79
257,9
258,47
259,20
260,21
261,19
262,7
