Document Count,Toknes in Query,Query Duration
0,1,4.125µs
0,1,2.333µs
0,3,3.333µs
50,2,78.541µs
50,2,2.667µs
50,2,73.125µs
100,1,2.292µs
100,2,2.417µs
100,1,1.708µs
150,2,2.542µs
150,3,3.042µs
150,2,18.5µs
200,3,185.875µs
200,3,201.833µs
200,2,29.042µs
250,1,1.792µs
250,2,2.417µs
250,1,1.541µs
300,3,33.75µs
300,2,209.625µs
300,2,32.292µs
350,3,239.875µs
350,1,1.5µs
350,2,1.875µs
400,1,1.375µs
400,1,310.208µs
400,1,1.292µs
450,3,314.375µs
450,1,1.208µs
450,2,48.041µs
500,3,2.625µs
500,2,1.542µs
500,2,52.458µs
550,1,1.458µs
550,1,77µs
550,1,361.542µs
600,2,1.459µs
600,1,364.542µs
600,2,1.625µs
650,1,398µs
650,1,392.75µs
650,1,1.166µs
700,1,1.083µs
700,2,68.875µs
700,2,1.625µs
750,2,475.25µs
750,1,1.208µs
750,2,1.292µs
800,1,86.958µs
800,2,1.5µs
800,2,481.875µs
850,1,85.083µs
850,3,2.125µs
850,1,531.875µs
900,2,543.75µs
900,2,1.458µs
900,1,83.75µs
950,1,1.083µs
950,1,541.042µs
950,1,85.458µs
1000,1,1.25µs
1000,2,1.459µs
1000,2,1.166µs
1050,3,84.291µs
1050,3,514.083µs
1050,3,1.958µs
1100,3,1.917µs
1100,2,1.167µs
1100,1,917ns
1150,1,631.083µs
1150,2,95.459µs
1150,1,84.958µs
1200,1,1µs
1200,1,917ns
1200,1,916ns
1250,3,1.875µs
1250,1,128.792µs
1250,3,1.667µs
1300,3,137.416µs
1300,1,833ns
1300,1,959ns
1350,2,1.5µs
1350,1,834ns
1350,2,1.125µs
1400,2,1.615625ms
1400,2,6.792µs
1400,2,1.459µs
1450,3,300.416µs
1450,1,1.25µs
1450,1,1.346375ms
1500,1,1.527666ms
1500,1,1.429583ms
1500,3,2.5µs
1550,3,301.708µs
1550,1,1.041µs
1550,1,875ns
1600,2,2.167µs
1600,2,1.125µs
1600,3,8.667µs
1650,2,4.916µs
1650,3,5.792µs
1650,1,4.292µs
1700,3,435.75µs
1700,2,5.167µs
1700,3,1.583µs
1750,2,352.375µs
1750,1,3.292µs
1750,2,337.167µs
1800,3,4.542µs
1800,3,389.125µs
1800,2,3.542µs
1850,3,6.292µs
1850,2,5.208µs
1850,2,1.167µs
1900,3,9.709µs
1900,2,3.958µs
1900,1,917ns
1950,1,3.291µs
1950,1,2.376334ms
1950,1,3.333µs
2000,3,9.208µs
2000,2,1.167µs
2000,1,500.292µs
2050,2,2.22275ms
2050,2,592.5µs
2050,1,517.917µs
2100,1,2.486875ms
2100,1,2.441417ms
2100,1,4.208µs
2150,1,2.5365ms
2150,1,2.520416ms
2150,1,8.083µs
2200,2,1.875µs
2200,3,739.459µs
2200,2,2.5065ms
2250,1,5.875µs
2250,1,958ns
2250,3,1.459µs
2300,3,631.167µs
2300,3,6.042µs
2300,3,13.167µs
2350,3,5.375µs
2350,3,2.769708ms
2350,2,2.616292ms
2400,2,1.75µs
2400,2,1.375µs
2400,1,9.209µs
2450,2,1.417µs
2450,3,1.458µs
2450,2,17.333µs
2500,1,3.084833ms
2500,1,9.458µs
2500,2,5.25µs
2550,3,9.417µs
2550,2,739.458µs
2550,1,3.025792ms
2600,3,11.625µs
2600,1,615.667µs
2600,3,3.067042ms
2650,3,9.542µs
2650,2,3.156ms
2650,2,628.084µs
2700,2,10.75µs
2700,2,10.166µs
2700,1,648.541µs
2750,2,3.302791ms
2750,2,11.583µs
2750,3,10.833µs
2800,1,3.542µs
2800,2,10.125µs
2800,2,4.167µs
2850,2,10.292µs
2850,1,630.458µs
2850,3,4.155791ms
2900,2,11.25µs
2900,3,10.542µs
2900,3,4.583µs
2950,3,12.125µs
2950,1,4.104083ms
2950,3,12.917µs
3000,3,14.334µs
3000,1,9.917µs
3000,2,11.125µs
3050,1,4.23075ms
3050,3,12.75µs
3050,2,3.916µs
3100,3,13.208µs
3100,3,4.253875ms
3100,1,4.205708ms
3150,2,4.498292ms
3150,2,4.208µs
3150,1,636.708µs
3200,2,4.369542ms
3200,3,4.3225ms
3200,1,10.25µs
3250,1,663.166µs
3250,3,655.541µs
3250,3,743.208µs
3300,3,662.083µs
3300,1,10.042µs
3300,1,637.375µs
3350,2,4.686583ms
3350,3,12.416µs
3350,2,657.916µs
3400,2,7.333µs
3400,2,743.041µs
3400,3,647.667µs
3450,3,15.625µs
3450,3,11.792µs
3450,3,739.5µs
3500,1,646.166µs
3500,3,4.792µs
3500,2,3.959µs
3550,1,3.334µs
3550,2,755.75µs
3550,2,4.917875ms
3600,3,18.125µs
3600,3,5.063125ms
3600,3,12.542µs
3650,3,676.583µs
3650,1,644.208µs
3650,2,11.958µs
3700,3,12.833µs
3700,3,5.041875ms
3700,1,3.333µs
3750,1,683.291µs
3750,3,4.875µs
3750,2,743.209µs
3800,3,683.583µs
3800,3,5.135917ms
3800,1,10.042µs
3850,2,12.833µs
3850,3,5.420875ms
3850,2,4.291µs
3900,1,5.301209ms
3900,3,14.458µs
3900,3,4.375µs
3950,3,5.277541ms
3950,2,4.084µs
3950,3,13.667µs
4000,1,691.667µs
4000,2,12.833µs
4000,2,12.208µs
