Document Count,Tokens in Query,Query Duration Micros
0,2,4
0,1,1
0,1,0
50,2,2
50,2,1
50,2,1
100,1,1
100,3,2
100,1,1
150,3,2
150,3,114
150,1,1
200,3,24
200,2,1
200,1,24
250,3,2
250,1,1
250,2,29
300,1,29
300,2,1
300,1,1
350,3,2
350,2,1
350,3,1
400,2,1
400,2,1
400,1,1
450,1,299
450,3,43
450,1,1
500,3,278
500,2,1
500,3,2
550,3,2
550,1,1
550,2,294
600,2,1
600,2,1
600,3,313
650,3,1
650,2,1
650,3,1
700,3,394
700,1,69
700,1,69
750,2,1
750,2,1
750,2,69
800,1,1
800,1,493
800,2,448
850,1,1
850,2,1
850,1,0
900,3,2
900,2,92
900,3,2
950,1,1
950,2,1
950,1,0
1000,1,1
1000,2,1
1000,3,1
1050,1,85
1050,3,497
1050,1,537
1100,3,95
1100,3,1
1100,2,1
1150,2,1
1150,3,1
1150,2,1
1200,3,110
1200,1,670
1200,3,1
1250,2,1
1250,3,119
1250,3,117
1300,2,1
1300,2,1
1300,3,166
1350,1,1
1350,3,961
1350,1,0
1400,3,2
1400,2,1
1400,3,1037
1450,3,1
1450,2,1
1450,1,0
1500,1,1
1500,3,1175
1500,2,1
1550,2,1
1550,3,1
1550,3,1
1600,2,5
1600,2,1
1600,2,1444
1650,2,4
1650,2,4
1650,2,1599
1700,1,1
1700,3,1
1700,3,5
1750,2,1
1750,2,347
1750,1,4
1800,1,341
1800,3,343
1800,2,3
1850,1,2115
1850,2,1
1850,1,2083
1900,3,2
1900,3,1
1900,2,469
1950,3,2118
1950,2,3
1950,1,478
2000,2,6
2000,3,2337
2000,2,4
2050,2,2401
2050,1,4
2050,2,532
2100,1,1
2100,1,0
2100,2,5
2150,3,581
2150,3,566
2150,2,10
2200,1,572
2200,1,5
2200,1,560
2250,2,534
2250,3,588
2250,1,4
2300,3,1
2300,2,6
2300,1,2809
2350,1,9
2350,3,12
2350,1,4
2400,1,9
2400,1,3
2400,3,9
2450,1,3042
2450,3,8
2450,2,1
2500,3,6
2500,2,650
2500,2,4
2550,3,629
2550,3,1
2550,3,1
2600,3,3103
2600,3,1
2600,2,1
2650,3,3159
2650,3,3140
2650,2,3308
2700,3,3422
2700,1,3
2700,2,10
2750,1,10
2750,1,3
2750,2,634
2800,3,3947
2800,1,9
2800,2,11
2850,3,12
2850,1,10
2850,2,4
2900,1,631
2900,1,618
2900,2,4
2950,2,11
2950,3,12
2950,2,12
3000,2,11
3000,2,4397
3000,2,4
3050,1,645
3050,2,639
3050,3,4
3100,2,13
3100,2,4306
3100,2,4212
3150,2,4274
3150,1,640
3150,3,12
3200,2,4
3200,2,12
3200,3,4372
3250,1,650
3250,3,12
3250,1,9
3300,3,799
3300,1,660
3300,1,4735
3350,2,4678
3350,2,4525
3350,1,10
3400,2,4604
3400,3,14
3400,3,5
3450,1,10
3450,2,666
3450,2,11
3500,1,4739
3500,3,4
3500,1,640
3550,3,14
3550,3,12
3550,2,4
3600,2,5343
3600,1,4
3600,2,12
3650,1,5456
3650,1,5162
3650,1,5124
3700,3,18
3700,1,3
3700,1,5086
3750,2,5330
3750,3,14
3750,3,5
3800,2,16
3800,1,710
3800,1,5177
3850,2,12
3850,1,11
3850,1,3
3900,2,687
3900,1,5290
3900,3,13
3950,1,5300
3950,3,14
3950,3,672
4000,3,5392
4000,2,5685
4000,3,674
4050,2,13
