Document Count,Query,Query Duration Micros
0,tales tales tales tales,52
50,and and and,156
100,have have man man plucked,69
150,the the the the the well,475
200,the the the the the there the,543
250,going,37
300,a,335
350,so of to of,288
400,them them at with cook,135
450,it,406
500,the the the the to the,1118
550,and the,1358
600,and and then and from had then,1275
650,and the,1442
700,a is it as,751
750,to of to but but of,1113
800,the,1405
850,upon the the i the the,308
900,when is lay chanticleer when is is,611
950,it was,904
1000,to and,1435
1050,one the when the the the,535
1100,the the the the,2493
1150,but on on,999
1200,and,1638
1250,and,1723
1300,of had had of had of,1192
1350,way,228
1400,it her her and and,1045
1450,do,433
1500,him up one gold,705
1550,not he,972
1600,him he i i,706
1650,the had,2513
1700,and and the,2433
1750,with to it to,1030
1800,to the the and the,2570
1850,and to,2533
1900,i i and i,1216
1950,the the the she,2767
2000,the and the and to and,2763
2050,had,652
2100,not to not he he to he,1099
2150,his lay his had his,958
2200,he is will,1198
2250,a you,1926
2300,and and the the and,2729
2350,of the the to to to to,2379
2400,i,1253
2450,by by by eat eat enter by,717
2500,be it it it,1062
2550,had was was for for for,777
2600,a,1873
2650,the,2654
2700,father,178
2750,the the the,3099
2800,of,1781
2850,was her her is is,1167
2900,go i i be took go i,528
2950,for the for long the the,1367
3000,and and and and but but and,3079
3050,a you a you,2137
3100,he and of,1499
3150,a,2041
3200,all the the the the the,1235
3250,she she here against here she,1110
3300,the the the when when when,3682
3350,and to,3301
3400,a a a his his a,2379
3450,the the the the the,4383
3500,the the,4416
3550,the you a you her the,4262
3600,for,1169
3650,the the,4626
3700,me to,1109
3750,and and and,4217
3800,it it he he,1884
3850,as table,1235
3900,these that that death,238
3950,the the the the a the,4915
4000,you you you you,1913
4050,the the her the,5386
4100,the,4546
4150,and and it and king and and,4578
4200,the was the the other,4831
4250,of of of of of of,2662
4300,be long thou be be be,1220
4350,the the her as the,5268
4400,a a a three i i,2969
4450,you be be in is in you,1985
4500,is is and and,1514
4550,his and him,2150
4600,never just be be think be,274
4650,the the,5593
4700,you you army like you,2107
4750,the be the the,5355
4800,for said shall said with with,1820
4850,the the,5847
4900,you you you you you you,2151
4950,the as the wife the the the,5591
5000,was,2072
5050,the the he the he the,6078
5100,and and and and and and,5308
5150,said said,2108
5200,the it the the the the the,5873
5250,saw saw tried saw saw,456
5300,see it it went went,577
5350,his,2258
5400,the the the what with the,6503
5450,i i i i,2509
5500,the a the the,6424
5550,the the the the,6631
5600,the the the,6726
5650,he a he a,3097
5700,the the the,6841
5750,a a a where,4331
5800,the the as,6927
5850,in in the the the the some,3792
5900,the the,7076
5950,to the but to to the,5988
6000,was a of a a a of,2765
6050,end was was was,161
6100,the the the your the,8434
6150,the the the,8382
6200,the the,8462
6250,the,7604
6300,and and,6371
6350,with with his with with with with,2945
6400,and and and and,6481
6450,and would,6008
6500,and and and but and prince,6497
6550,and he he and he and at,6585
6600,will the the the the,1314
6650,to that her to that that,5723
6700,were and and and and,1329
6750,to to the,6152
6800,or that again,1019
6850,the the the the,9394
6900,at what you,2539
6950,to to was to to to,5917
7000,from her of from,1816
7050,say would as,545
7100,and and and and and and and,8454
7150,in the and the,5534
7200,what the the,2030
7250,looked i i at at i,617
7300,the the the the,9726
7350,his his his his about,4008
7400,his,3641
7450,his his,3972
7500,as as the,2622
7550,that that,4301
7600,more more more hour more more,948
7650,in in to him to to to,4681
7700,old,869
7750,his you,4060
7800,he he he,4990
7850,with with was,4183
7900,and and and and,9282
7950,the as the the the the the,9906
8000,the and and the,10222
8050,the the the the up the,10381
8100,and and and but but,9125
8150,to to to to to to to,8215
8200,a a the a the the the,5971
8250,the the with the,10592
8300,him and and and,3291
8350,little little little little,1044
8400,at or at at at at at,3684
8450,me you you she she you,1907
8500,the,9765
8550,the and she,10776
8600,little,948
8650,in and and and and and and,5380
8700,was and and was and for and,4710
8750,the in in the,11262
8800,the to the the,11113
8850,him,3642
8900,of out her her,6175
8950,look be was all,602
9000,the,10578
9050,out then which about,1805
9100,who out out,2092
9150,and a and and a a a,11375
9200,a,7473
9250,his to,5167
9300,and the,11660
9350,so so dinner so so so,2729
9400,she and,3146
9450,of of but of of of,8610
9500,the the of the of of,13214
9550,my a,2289
9600,is and and and and to to,3260
9650,is love would at is at is,3144
9700,to to to to,10475
9750,the to of to to to,13336
9800,which the the the him,2319
9850,of a a a,9194
9900,that officers that,5322
9950,the,11950
10000,was was carriage said was,5585
10050,the the for the the the the,13378
10100,the the the the,13462
10150,the the the the was is,14158
10200,count whether had had,700
10250,that that,5895
10300,the was the the to the to,15167
10350,did and and and and young,1981
10400,the the the the to,16094
10450,you you her,4782
10500,the the the the,15096
10550,she she she thou she she she,3030
10600,and i the and the the,12281
10650,was was was it,5728
10700,you his you his,4746
10750,it it to to his his to,5294
10800,with one with with then with with,6547
10850,up all when natáshas all,2600
10900,have,2577
10950,have came but came,2490
11000,with,5520
11050,when said him who when him,2488
11100,he his his,9395
11150,the,14098
11200,and when and,12992
11250,was at not not at,6378
11300,to to to,12967
11350,in and and in,8859
11400,and and and,12813
11450,the the,19980
11500,with only with only only only with,6034
11550,the and and,20596
11600,the that that the,19368
11650,our our might our our,806
11700,and and and and,13655
11750,and and,13098
11800,the a the the a,18031
11850,the,17414
11900,of and and of and of,11184
11950,from his his his left from from,3486
12000,he is all he have he,9209
12050,them them,2096
12100,him of all,5497
12150,the the the the he the the,20470
12200,the the him the him,20310
12250,a i i a a,10253
12300,and to and and for and,15038
12350,but but i i i,5359
12400,her to to him him,4730
12450,the the and the the with and,19043
12500,the,16620
12550,the the the the him the the,18285
12600,i face i i,4600
12650,is young and,4510
12700,a,9502
12750,to,11476
12800,never began,691
12850,what what with with with what what,4183
12900,the her,19907
12950,so at old at,3279
13000,of he this of of,11722
13050,and had and and,17827
13100,the you,19989
13150,when when not not when,2718
13200,his of of of his,8954
13250,of of of not of of with,10802
13300,and and and and and and then,18890
13350,and and and and and,18962
13400,princess on what it princess,1297
13450,as the the the his the,5876
13500,and and and of,17960
13550,were you for were my,3841
13600,his with with his his his what,8894
13650,was white was was,8573
13700,by a,4419
13750,i i from all up hands,5608
13800,to in,18683
13850,was to to to was to was,8976
13900,the the the the the the the,21498
13950,the his to the,19844
14000,the,18318
14050,he in of he and of and,10293
14100,of of the,11778
14150,and who and to and,19130
14200,he he,10789
14250,the to to the to,22325
14300,to,17736
14350,his he he he he,9631
14400,the,20645
14450,to to,17075
14500,the the the the the the,22678
14550,of had had of of of,12448
14600,and and and,19525
14650,cannot the,428
14700,the the the,22868
14750,if was was he he was was,2734
14800,no to,3154
14850,what in the,4556
14900,was was,9143
14950,in former that that in in in,9936
15000,and,18063
15050,at a out,8243
15100,with with him him him,9160
15150,that i that that that him that,10052
15200,he,10192
15250,and of,20966
15300,it it by it was,8231
15350,the as,22301
15400,and and so his,19674
15450,what,4096
15500,my power were were were my were,2636
15550,her not her,5363
15600,of of you of of of of,16698
15650,was,9016
15700,a a a chapter a a a,12964
15750,of of of to,16385
15800,and of and,20535
15850,after after child after after,1997
15900,that the,11764
15950,she russian she she she your she,4553
16000,that,9625
16050,how the and,2176
16100,the of the the the it the,24339
16150,and he the the and,21345
16200,a battalion walk a a saw,14845
16250,to in in in in have,19472
16300,in and,12816
16350,to to the the the the the,18921
16400,and and the,20683
16450,a prince,15262
16500,the the the the the the the,24825
16550,to of of that of,19087
16600,in are in to to are,11719
16650,the,22432
16700,of of in of of,17504
16750,that,10506
16800,was was was was was,10468
16850,he chapter he he o,10955
16900,a was,16692
16950,the,23421
17000,with in with in with,10778
17050,corner many was,253
17100,the and and the the and the,27148
17150,those those those those,1588
17200,and and and,22131
17250,great when,1226
17300,and the the the the and,24372
17350,and and and,21387
17400,with,10051
17450,the and the and and,26907
