Document Count,Term List Size
0,576
50,60756
100,97536
150,124476
200,136416
250,157356
300,179496
350,185976
400,195996
450,211416
500,223176
550,231276
600,239316
650,241176
700,245676
750,256836
800,265716
850,275436
900,279216
950,294096
1000,309096
1050,327216
1100,331656
1150,336636
1200,344736
1250,350076
1300,360636
1350,364836
1400,372276
1450,379656
1500,384996
1550,388356
1600,393816
1650,397416
1700,405876
1750,411816
1800,416016
1850,420636
1900,425556
1950,429096
2000,432576
2050,438636
2100,443136
2150,446616
2200,447516
2250,454176
2300,454176
2350,456276
2400,456336
2450,456516
2500,456756
2550,457356
2600,457416
2650,457476
2700,459936
2750,477036
2800,488616
2850,497196
2900,504696
2950,508236
3000,516276
3050,525036
3100,533316
3150,537636
3200,541056
3250,545796
3300,551136
3350,557736
3400,566316
3450,570276
3500,577296
3550,582336
3600,591216
3650,597996
3700,608556
3750,615216
3800,619476
3850,621876
3900,628896
3950,633636
4000,638136
4050,643896
4100,649296
4150,651156
4200,653376
4250,657636
4300,663636
4350,669156
4400,676236
4450,683676
4500,687036
4550,693756
4600,696396
4650,702996
4700,709716
4750,718536
4800,725616
4850,729096
4900,735996
4950,740796
5000,743616
5050,749016
5100,751836
5150,753996
5200,756516
5250,759516
5300,765756
5350,771276
5400,776676
5450,783576
5500,787956
5550,791976
5600,794916
5650,797376
5700,801576
5750,804276
5800,806856
5850,810936
5900,817956
5950,820236
6000,824316
6050,827196
6100,831396
6150,832716
6200,835056
6250,836676
6300,838596
6350,843156
6400,848796
6450,856896
6500,862356
6550,866976
6600,876216
6650,879576
6700,883176
6750,886056
6800,891696
6850,894996
6900,898356
6950,900276
7000,904356
7050,910176
7100,914376
7150,923556
7200,933636
7250,936636
7300,939516
7350,942516
7400,947196
7450,949956
7500,951936
7550,952656
7600,960696
7650,965376
7700,969996
7750,974316
7800,978996
7850,981156
7900,984876
7950,986376
8000,990336
8050,992196
8100,993096
8150,1001016
8200,1003536
8250,1008156
8300,1011576
8350,1016016
8400,1019796
8450,1020996
8500,1021596
8550,1022976
8600,1024356
8650,1026216
8700,1028136
8750,1029456
8800,1029996
8850,1039836
8900,1044336
8950,1047276
9000,1051236
9050,1058856
9100,1066476
9150,1069356
9200,1075296
9250,1082136
9300,1083336
9350,1087296
9400,1093356
9450,1097256
9500,1099956
9550,1102356
9600,1105356
9650,1110156
9700,1113876
9750,1114716
9800,1118136
9850,1118856
9900,1120296
9950,1121556
10000,1124076
10050,1126896
10100,1130676
10150,1133796
10200,1137036
10250,1139436
10300,1141116
10350,1144416
10400,1148256
10450,1152516
10500,1154796
10550,1156776
10600,1157976
10650,1161216
10700,1164156
10750,1167336
10800,1171956
10850,1177176
10900,1181616
10950,1183596
11000,1185096
11050,1187196
11100,1189116
11150,1190256
11200,1190736
11250,1192776
11300,1197996
11350,1200756
11400,1202976
11450,1205376
11500,1207716
11550,1212396
11600,1214376
11650,1217196
11700,1218516
11750,1220496
11800,1222896
11850,1224876
11900,1228656
11950,1231776
12000,1233876
12050,1235796
12100,1238196
12150,1240296
12200,1242996
12250,1245216
12300,1246116
12350,1248216
12400,1251756
12450,1254576
12500,1260576
12550,1264116
12600,1266636
12650,1269756
12700,1273596
12750,1278756
12800,1281156
12850,1283016
12900,1284636
12950,1285416
13000,1287876
13050,1290936
13100,1294596
13150,1297656
13200,1298796
13250,1303296
13300,1305636
13350,1307016
13400,1311096
13450,1313736
13500,1317156
13550,1318476
13600,1319196
13650,1320336
13700,1323516
13750,1329216
13800,1330056
13850,1333236
13900,1333896
13950,1337256
14000,1340136
14050,1342056
14100,1344396
14150,1346316
14200,1353156
14250,1358436
14300,1361196
14350,1364856
14400,1369296
14450,1371036
14500,1385016
14550,1402536
14600,1422816
14650,1433376
14700,1443696
14750,1453416
14800,1465116
14850,1479396
14900,1490076
14950,1500516
15000,1511256
15050,1520616
15100,1532616
15150,1539396
15200,1548036
15250,1553736
15300,1560456
15350,1568856
15400,1576056
15450,1580016
15500,1584816
15550,1589676
15600,1594896
15650,1600896
15700,1603056
15750,1604136
15800,1607676
15850,1612176
15900,1620276
15950,1631616
16000,1651956
16050,1662996
16100,1676736
16150,1694976
16200,1708716
16250,1717956
16300,1726476
16350,1733016
16400,1736676
16450,1740876
16500,1755276
16550,1773816
16600,1791276
16650,1805256
16700,1816716
16750,1826016
16800,1847736
16850,1859676
16900,1868556
16950,1877856
17000,1892556
17050,1899216
17100,1906656
17150,1917696
17200,1926456
17250,1933716
17300,1944636
17350,1953456
17400,1957116
17450,1969596
17500,1982496
17550,1993236
17600,2004456
17650,2016216
17700,2020476
17750,2030256
17800,2045496
17850,2053056
17900,2067216
17950,2079336
18000,2085696
18050,2093316
18100,2100396
18150,2106396
18200,2112936
18250,2117616
18300,2124096
18350,2130516
18400,2139036
18450,2146536
18500,2155236
18550,2160336
18600,2161416
18650,2164716
18700,2167116
18750,2169996
18800,2171856
18850,2173956
18900,2175876
18950,2176716
19000,2179536
19050,2181336
19100,2183136
19150,2187096
19200,2190756
19250,2192256
19300,2194596
19350,2197656
19400,2198916
19450,2201076
19500,2202036
19550,2204436
19600,2207676
19650,2209596
19700,2212236
19750,2215056
19800,2218296
19850,2218656
19900,2220336
19950,2222496
20000,2225076
20050,2226636
20100,2228076
20150,2229936
20200,2231976
20250,2232816
20300,2234736
20350,2234916
20400,2237496
20450,2238756
20500,2239896
20550,2242116
20600,2245176
20650,2246736
20700,2247576
20750,2249436
20800,2251536
20850,2253156
20900,2253636
20950,2254416
21000,2254776
21050,2257296
21100,2258496
21150,2259936
21200,2262036
21250,2262756
21300,2265216
21350,2270496
21400,2273856
21450,2277996
21500,2280936
21550,2285016
21600,2289036
21650,2291496
21700,2294016
21750,2296476
21800,2298696
21850,2300916
21900,2302296
21950,2304036
22000,2305356
22050,2306376
22100,2307396
22150,2308716
22200,2309796
22250,2310996
22300,2312136
22350,2313636
22400,2315256
22450,2317416
22500,2319876
22550,2320956
22600,2322096
22650,2324616
22700,2325096
22750,2328936
22800,2330256
22850,2331576
22900,2332296
22950,2334756
23000,2336856
23050,2337576
23100,2338896
23150,2339736
23200,2340936
23250,2341656
23300,2342736
23350,2343876
23400,2345196
23450,2345796
23500,2347536
23550,2350116
23600,2351316
23650,2352516
