Document Count,Query,Query Duration Micros
0,the project gutenberg gutenberg project gutenberg,71
50,the the to,157
100,who he,55
150,however to said to to to to,53
200,the the the the the,546
250,so so they so,218
300,but and in,288
350,to all when to,255
400,you was,277
450,said said,382
500,went just went went,75
550,the the old the old day the,147
600,am the to and,96
650,to,731
700,not,430
750,the the her the,597
800,the the the the the,1674
850,and on a a and and,592
900,the that the the,876
950,so for so was for was,662
1000,you said said,977
1050,to to you you you as to,723
1100,the the,2436
1150,that,927
1200,a,1121
1250,he could,328
1300,the the the the the she the,740
1350,that that,1059
1400,see,238
1450,her it,716
1500,the the the the on the the,832
1550,as as as as as as,739
1600,to and to was and and to,1128
1650,the,2260
1700,that the i the the,1200
1750,he he he as,1002
1800,the the the me,669
1850,and their and and little and,331
1900,is the the the he,926
1950,and,2549
2000,and and and a and and and,1551
2050,and the to the what and and,704
2100,asked asked by as,178
2150,of of of good of,364
2200,of,1347
2250,a there and,586
2300,let at reached at at,44
2350,you you of,1320
2400,and and and the,3067
2450,and the,3056
2500,and,2388
2550,the the the,3031
2600,came great thy thy days thy thy,88
2650,they they very they very they,342
2700,the she is the,1063
2750,they,692
2800,me all me me all,972
2850,the,2790
2900,and the and and the the the,2988
2950,from i,545
3000,to to had to had to had,999
3050,as this,1000
3100,for of xv,34
3150,the the the that the the,2053
3200,wife wife you you you you,253
3250,my she she she this this,990
3300,is,1094
3350,the the he the the the,1584
3400,and and and,3283
3450,him him but,1077
3500,she do she she,648
3550,and and and and,3423
3600,and and and a,2552
3650,the the the the the the,4632
3700,a to,2588
3750,of,2250
3800,but the the that the,1511
3850,do,628
3900,and and and and,4321
3950,took was chapter was took chapter was,470
4000,the the the the the,4959
4050,after upon left,236
4100,came to said to her to her,697
4150,and and,4501
4200,was said was was said,1846
4250,the and the and,4552
4300,in in in so talk in,100
4350,you you go you,614
4400,the in,2925
4450,the,4805
4500,to to a to a chapter to,656
4550,to the and,4160
4600,first its first or this first son,279
4650,they the the the,1125
4700,a,3443
4750,she she she was,1303
4800,little overcome too little little little kings,28
4850,chapter it it it it it,618
4900,came that that he of,887
4950,the the out the,1096
5000,and in and up,1116
5050,to to out and and,1060
5100,the the,6110
5150,and and and,5289
5200,as no no no as as as,1037
5250,and his,2453
5300,the the the the the,6355
5350,it the,2482
5400,mon say book know own know say,48
5450,the the the and the and the,5604
5500,now said said said,923
5550,is been is,743
5600,a you himself,641
5650,it the the the,2890
5700,to to to,5322
5750,is is is is what is,1522
5800,he he he them i he he,972
5850,the the,7396
5900,to,4681
5950,the as as as the the said,2222
6000,to he he he to,4027
6050,she but,2649
6100,his and and with and and,3091
6150,the,7926
6200,the the is is the as the,2146
6250,the the,8488
6300,the in in in the very the,741
6350,get are,380
6400,but but but so as but so,1928
6450,of as as,2270
6500,the,7919
6550,will,1202
6600,the the a you a the the,2741
6650,she and she,1946
6700,the the the the the,9021
6750,and and they and,1498
6800,and and,8132
6850,not,2610
6900,to,5449
6950,and and and and,8113
7000,came a came came a do,1061
7050,and and and and and,8170
7100,the,8446
7150,about,936
7200,to,5672
7250,a a a her a what,1948
7300,her i prince chapter prince i i,930
7350,to to the the i to,3070
7400,you that you that he,2828
7450,the a the the the,5551
7500,a of of of a of they,1492
7550,was to the,4150
7600,and,8060
7650,how were how how were,1014
7700,i he,3625
7750,the the,10224
7800,and,8132
7850,to one the that to the the,1977
7900,and cunning,23
7950,of the the to,5645
8000,the the the,10646
8050,and and and,9068
8100,more for had had for for,994
8150,a to the,6026
8200,on on on mind an on,274
8250,and and he and and,5323
8300,the,9625
8350,the and eyes the the,1004
8400,and you,3832
8450,her with the the and the the,2852
8500,and and,9614
8550,a him his forest it a,155
8600,and and,9546
8650,you to to to to to,3862
8700,a,5731
8750,to to to,8669
8800,the the the and the the,10634
8850,the the,11034
8900,to to to to had to,3901
8950,and and the the,9932
9000,know a will a,1025
9050,he he to what he to,2484
9100,his to,4830
9150,the the you you the that,3888
9200,with with with toward with,308
9250,her thought her her cried her her,471
9300,the the the at the with,4153
9350,it tell you it,631
9400,do wife,485
9450,a be a often,168
9500,the the the time,1214
9550,the the the and and the,10644
9600,i it at come i i at,1108
9650,the the the the,12207
9700,to to to to these to,606
9750,of his of his his of let,707
9800,and the and,10781
9850,and to to and to,9545
9900,and to and and and to and,9400
9950,the of,9859
10000,the the the the for,4504
10050,and chapter and and and and,988
10100,heart my did did my did,313
10150,the the the the,12665
10200,the,11736
10250,the her before her of,1227
10300,to to her at had to her,4592
10350,his with it his,5810
10400,the,12997
10450,the the to to to to,11019
10500,the and but,5140
10550,a a a colonel a a a,153
10600,who i one,2364
10650,the the the the the,13589
10700,and and,11711
10750,of of of of a of,8790
10800,a a a a a,8359
10850,i i i as,4193
10900,the she the the the in the,2984
10950,and and,11837
11000,and had had and and and,4498
11050,the,12465
11100,and the the,13171
11150,that of the the the the,6145
11200,not not,4871
11250,for,4019
11300,in in in in in,7945
11350,the i the,4598
11400,and of of and but but,4767
11450,not me not,2215
11500,at the,6576
11550,was the the,6992
11600,prince as what as as,2524
11650,i i i,5209
11700,to it to the to the,6385
11750,a him him him so a a,2817
11800,cannot,283
11850,and and the,13432
11900,but but at but at after,1349
11950,it it,6065
12000,and and war and and,426
12050,to as to to to pétya,215
12100,by by by so make,594
12150,the the the and and,13593
12200,the the the the,18171
12250,i i not i not,5223
12300,then,1990
12350,and and and and he and,8952
12400,i that i,5159
12450,a a a with a,9024
12500,be,3919
12550,and not and,6406
12600,his their,1986
12650,from,3693
12700,of,10188
12750,and and and and and,16454
12800,of his in in his,7782
12850,said the the said the,4947
12900,he lady he he took emperor,321
12950,the the,18997
13000,but but,5365
13050,by by by then by by by,2150
13100,the with the,8881
13150,did of of did,2238
13200,i peaceful who does,26
13250,is,4325
13300,and and the the the,18498
13350,the the i the the,5234
13400,the the the of of the his,8572
13450,i,4590
13500,that of,9456
13550,him him him and and,5419
13600,and and and,18329
13650,and and and and and and and,18129
13700,the the the the the the,20988
13750,all,4307
13800,for for army for,784
13850,just and and for and,1075
13900,was of was,8242
13950,of of,11124
14000,his is is is his his,4647
14050,the,19279
14100,and was and him,5728
14150,a a a some a a,1592
14200,was him him,5550
14250,the that the that the with,9003
14300,for of,5855
14350,to to a to a to a,11641
14400,at at at at,6540
14450,and and and had to to to,6895
14500,the,21550
14550,this what he had,4752
14600,of of of at i the the,6432
14650,and the the and the,22133
14700,dear he he do,743
14750,and the he the and,10996
14800,of of of,12764
14850,he and and he and and,10278
14900,movement her now,286
14950,that the the or the the the,2939
15000,the the the the the the,23195
15050,the the the the the,22561
15100,and and,19701
15150,at would at but is,2623
15200,the the the the,22722
15250,the,19616
15300,with with with with with with with,9106
15350,its of had time of of,1415
15400,her her of,5186
15450,the the the the,22214
15500,to to his his,9693
15550,the the,22297
15600,the the to and to the the,17758
15650,and,18187
15700,the the to,20402
15750,in that,10730
15800,the and good the,1318
15850,the the,23098
15900,of of of of,16289
15950,and and,19767
16000,to to to,17907
16050,the,20863
16100,the,20541
16150,and old and,1968
16200,the the the the the the,23167
16250,the,20609
16300,a with a a a a,11233
16350,the the the the the,23333
16400,of of and and of and,16719
16450,in in in in quite,1017
16500,in the the the,14876
16550,the the is of the of the,5590
16600,from from that that that,5249
16650,that that the that,10794
16700,the,21893
16750,the the the ah,513
16800,is of of of of of of,5701
16850,the the the the,24334
16900,and in and,12969
16950,the,21797
17000,in in he,12260
17050,could he could,2629
17100,the the so the,5087
17150,a the the the a the,16296
17200,were and and,4822
17250,that so that so his his his,4769
17300,the and and the,21247
17350,a a,16281
17400,the the the the at the,10864
17450,his a to his you to,5625
17500,it,8666
17550,he not his at he he,8729
17600,to,18175
17650,and and,21781
17700,and and and,22204
17750,it it it would,3774
17800,and,19574
17850,of of with with of with of,10657
17900,and and and,21554
17950,her the her to to,5545
18000,a that a a something that that,1399
18050,time of that of of,3012
18100,with to,13375
18150,he he,14419
18200,in in of in in,18206
18250,a,17682
18300,and by and and and and,7031
18350,the,28536
18400,at pierre,2606
18450,the the was the the,12820
18500,said have,5432
18550,the the he the,14943
18600,a a my a,4415
18650,all,8042
18700,i i girl,369
18750,with,11456
18800,him him,8415
18850,more,2780
18900,have was,5521
18950,the he the he,14676
19000,but of but of not,9845
19050,the,27461
19100,no a a a,4909
19150,to,21613
19200,for,8791
19250,him him go,2109
19300,all to their it to,3845
19350,his to he he,12659
19400,a a were a is,5312
19450,the the,32683
19500,to to an to an pierre to,2524
19550,of by of by is of,8285
19600,of of,21462
19650,he the he,13543
19700,would our would would would,2049
19750,and be the and the,8964
19800,and and to be to,9157
19850,for for,10596
19900,to to to of to down,2685
19950,you you he he he he,7904
20000,in,17668
20050,of was of his of was was,11272
20100,which and so and and and,5678
20150,for for a with for a,10296
20200,and she the to and and to,5335
20250,the the the the the the,29585
20300,the the in,21238
20350,the and and the and,23944
20400,that is that,8501
20450,when his his it his his,4797
20500,with with with or with with,4470
20550,from most,1519
20600,that had that that,9311
20650,the the the there,4764
20700,at all all at,8030
20750,of of of with of of of,12421
20800,not what,5281
20850,of,19034
20900,it and,11923
20950,to,20420
21000,the who,5475
21050,with not i ill,753
21100,at he,10048
21150,the the the a him the him,9509
21200,and and the the the the and,27932
21250,the the the and,32571
21300,to,23739
21350,the him the the that to,9484
21400,the,36283
21450,is a is a is a,9609
21500,the,32611
21550,his had his him had something,1389
21600,he,15074
21650,his for,10311
21700,that that,16267
21750,no for for for,5243
21800,in the the the,23286
21850,to had to to to,10122
21900,in,16692
21950,he it been it he he,4545
22000,the the the the the,35956
22050,had,8991
22100,some,3511
22150,to in to,19209
22200,the not as the the the the,9628
22250,the,32002
22300,to in in to in to all,9357
22350,a,18905
22400,the the the i the the the,11038
22450,of and he of,16556
22500,that that my old that that that,2344
22550,the is the the,9803
22600,to to to,22919
22650,the i,11978
22700,him him where him him him him,2246
22750,and and and,25709
22800,the to the the the the the,27157
22850,to that to him,9857
22900,said said have have,8563
22950,the and,30626
23000,who,4986
23050,be and,8480
23100,he is you,9008
23150,and he he and the,16442
23200,the the the and and and the,28448
23250,the the is the,10155
23300,not before after not after after not,2478
23350,the that my to,5331
23400,if away,2103
23450,to was was to was,11879
23500,of of it of of of,12291
23550,his to to,13514
23600,the,33374
23650,to,21300
23700,a a he a a he,16569
23750,to to a to to to a,19905
23800,to and and day and and to,2091
23850,the the the,40388
23900,to to to to to to,26072
23950,the to the the him the the,10221
24000,i i not i not,10637
24050,the,35373
24100,it it question,584
24150,was the the,14044
24200,the the the a a,22242
24250,in in in,18315
24300,that that,17352
24350,to of to to,26198
24400,the the for in the,10646
24450,he to to he to he,16309
24500,me me a a,4887
24550,is on smile on is,722
24600,in,18903
24650,a and and,23514
24700,in try in,333
24750,the the the i but the,11741
24800,and to would to to had and,4410
24850,and and in want,755
24900,what i,6594
24950,of,25208
25000,the of the the,29252
25050,in in to in in in,21106
25100,with them,4671
25150,you she you,5651
25200,of of he me he,5722
25250,and in in in and in,21031
25300,the as the the the the i,11159
25350,the the the the the the,43133
25400,for other no no,2619
25450,i,11121
25500,to to to own own the the,2382
25550,it the in,12988
25600,to her to to to to to,7455
25650,the the,43167
25700,the the the the the the,42385
25750,the the the is the the the,12261
25800,he,17838
25850,her i i her,6730
25900,and and and and,29126
25950,not other other not not not not,2825
26000,the the the be the the the,10598
26050,he he he,17419
26100,it is is,10227
26150,have from from from him,8270
26200,and,26588
26250,had,9004
26300,to to to to to not,12119
26350,of right of,1410
26400,to of to to to to of,24325
26450,at,10764
26500,his,15850
26550,it his his,13734
26600,was and i i have and,8633
26650,the that the,19841
26700,to all to to,9335
26750,this this and and his,9016
26800,to to to,24468
26850,the the the,37853
26900,and,34145
26950,had the,10468
27000,man all time man all now,2924
27050,had had this had but this,9240
27100,and and and,34014
27150,not him of,9689
27200,remarked this,287
27250,and,29644
27300,the the the she the the the,5700
27350,to and of to of to,24623
27400,you to to,10761
27450,with,14936
27500,the the not i not,11403
27550,the the the was the the,13598
27600,and and,32659
27650,on on on on on woman on,685
27700,the of the of of his,16433
