Document Count,Indexing Duration Micros,Start of Document
0,12914,the the the the the the the
1,11706,the the the the the the the
2,11081,the the the the the the the
3,10608,the the the the the the the
4,10253,the the the the the the the
5,10213,the the the the the the the
6,10181,the the the the the the the
7,10286,the the the the the the the
8,10147,the the the the the the the
9,10077,the the the the the the the
10,10018,the the the the the the the
11,10149,the the the the the the the
12,10016,the the the the the the the
13,10156,the the the the the the the
14,10086,the the the the the the the
15,10061,the the the the the the the
16,10202,the the the the the the the
17,10089,the the the the the the the
18,10154,the the the the the the the
19,10184,the the the the the the the
20,9939,the the the the the the the
21,10219,the the the the the the the
22,10070,the the the the the the the
23,10152,the the the the the the the
24,10036,the the the the the the the
25,10354,the the the the the the the
26,10117,the the the the the the the
27,10277,the the the the the the the
28,10110,the the the the the the the
29,10036,the the the the the the the
30,10117,the the the the the the the
31,10121,the the the the the the the
32,10003,the the the the the the the
33,10112,the the the the the the the
34,10175,the the the the the the the
35,10075,the the the the the the the
36,10070,the the the the the the the
37,10104,the the the the the the the
38,10163,the the the the the the the
39,10233,the the the the the the the
40,10085,the the the the the the the
41,10559,the the the the the the the
42,10017,the the the the the the the
43,10096,the the the the the the the
44,9908,the the the the the the the
45,10159,the the the the the the the
46,10078,the the the the the the the
47,10115,the the the the the the the
48,9958,the the the the the the the
49,10083,the the the the the the the
50,10182,the the the the the the the
51,10036,the the the the the the the
52,10385,the the the the the the the
53,10558,the the the the the the the
54,10564,the the the the the the the
55,10291,the the the the the the the
56,10168,the the the the the the the
57,10121,the the the the the the the
58,10035,the the the the the the the
59,10132,the the the the the the the
60,10111,the the the the the the the
61,10052,the the the the the the the
62,10031,the the the the the the the
63,10135,the the the the the the the
64,10145,the the the the the the the
65,9972,the the the the the the the
66,10061,the the the the the the the
67,10110,the the the the the the the
68,9996,the the the the the the the
69,9986,the the the the the the the
70,10117,the the the the the the the
71,10062,the the the the the the the
72,10065,the the the the the the the
73,9970,the the the the the the the
74,10028,the the the the the the the
75,10176,the the the the the the the
76,10030,the the the the the the the
77,9896,the the the the the the the
78,10054,the the the the the the the
79,9904,the the the the the the the
80,10177,the the the the the the the
81,9955,the the the the the the the
82,10096,the the the the the the the
83,10511,the the the the the the the
84,10038,the the the the the the the
85,10327,the the the the the the the
86,10202,the the the the the the the
87,10127,the the the the the the the
88,10101,the the the the the the the
89,10121,the the the the the the the
90,10164,the the the the the the the
91,10507,the the the the the the the
92,10050,the the the the the the the
93,10576,the the the the the the the
94,10590,the the the the the the the
95,9926,the the the the the the the
96,9964,the the the the the the the
97,10166,the the the the the the the
98,10627,the the the the the the the
99,10009,the the the the the the the
100,10057,the the the the the the the
101,10210,the the the the the the the
102,10355,the the the the the the the
103,10036,the the the the the the the
104,10113,the the the the the the the
105,10636,the the the the the the the
106,10029,the the the the the the the
107,10082,the the the the the the the
108,10192,the the the the the the the
109,10127,the the the the the the the
110,10023,the the the the the the the
111,10159,the the the the the the the
112,10226,the the the the the the the
113,10092,the the the the the the the
114,10074,the the the the the the the
115,10154,the the the the the the the
116,10120,the the the the the the the
117,10081,the the the the the the the
118,10086,the the the the the the the
119,10051,the the the the the the the
120,10158,the the the the the the the
121,10085,the the the the the the the
122,10066,the the the the the the the
123,10127,the the the the the the the
124,10065,the the the the the the the
125,10078,the the the the the the the
126,10077,the the the the the the the
127,10187,the the the the the the the
128,10082,the the the the the the the
129,10078,the the the the the the the
130,10196,the the the the the the the
131,10107,the the the the the the the
132,10090,the the the the the the the
133,10082,the the the the the the the
134,10160,the the the the the the the
135,10192,the the the the the the the
136,10118,the the the the the the the
137,10113,the the the the the the the
138,10281,the the the the the the the
139,10121,the the the the the the the
140,10088,the the the the the the the
141,10042,the the the the the the the
142,10255,the the the the the the the
143,10080,the the the the the the the
144,10028,the the the the the the the
145,10194,the the the the the the the
146,10114,the the the the the the the
147,9924,the the the the the the the
148,9980,the the the the the the the
149,10030,the the the the the the the
150,10751,the the the the the the the
151,10698,the the the the the the the
152,10714,the the the the the the the
153,10730,the the the the the the the
154,10337,the the the the the the the
155,9993,the the the the the the the
156,9987,the the the the the the the
157,9962,the the the the the the the
158,10083,the the the the the the the
159,10437,the the the the the the the
160,10455,the the the the the the the
161,10064,the the the the the the the
162,10281,the the the the the the the
163,10179,the the the the the the the
164,10069,the the the the the the the
165,10081,the the the the the the the
166,10057,the the the the the the the
167,10111,the the the the the the the
168,10336,the the the the the the the
169,10090,the the the the the the the
170,10731,the the the the the the the
171,10034,the the the the the the the
172,10036,the the the the the the the
173,10154,the the the the the the the
174,10168,the the the the the the the
175,10046,the the the the the the the
176,10198,the the the the the the the
177,10038,the the the the the the the
178,9921,the the the the the the the
179,10190,the the the the the the the
180,10662,the the the the the the the
181,10340,the the the the the the the
182,11085,the the the the the the the
183,10360,the the the the the the the
184,11181,the the the the the the the
185,10174,the the the the the the the
186,10132,the the the the the the the
187,11253,the the the the the the the
188,10098,the the the the the the the
189,10412,the the the the the the the
190,10151,the the the the the the the
191,10138,the the the the the the the
192,11185,the the the the the the the
193,10653,the the the the the the the
194,10089,the the the the the the the
195,10108,the the the the the the the
196,10092,the the the the the the the
197,10106,the the the the the the the
198,10348,the the the the the the the
199,9965,the the the the the the the
200,10430,the the the the the the the
201,10430,the the the the the the the
202,10097,the the the the the the the
203,11519,the the the the the the the
204,10121,the the the the the the the
205,11441,the the the the the the the
206,10305,the the the the the the the
207,10070,the the the the the the the
208,11335,the the the the the the the
209,10061,the the the the the the the
210,10437,the the the the the the the
211,10160,the the the the the the the
212,10068,the the the the the the the
213,10593,the the the the the the the
214,10967,the the the the the the the
215,9972,the the the the the the the
216,10864,the the the the the the the
217,10159,the the the the the the the
218,10036,the the the the the the the
219,11377,the the the the the the the
220,9970,the the the the the the the
221,10181,the the the the the the the
222,10566,the the the the the the the
223,11416,the the the the the the the
224,10259,the the the the the the the
225,10236,the the the the the the the
226,10216,the the the the the the the
227,10137,the the the the the the the
228,10068,the the the the the the the
229,10247,the the the the the the the
230,10205,the the the the the the the
231,10030,the the the the the the the
232,10144,the the the the the the the
233,10304,the the the the the the the
234,10153,the the the the the the the
235,10080,the the the the the the the
236,10049,the the the the the the the
237,10135,the the the the the the the
238,10071,the the the the the the the
239,10099,the the the the the the the
240,10060,the the the the the the the
241,10180,the the the the the the the
242,10028,the the the the the the the
243,10269,the the the the the the the
244,10340,the the the the the the the
245,10179,the the the the the the the
246,10106,the the the the the the the
247,9913,the the the the the the the
